subject,domain,n_mutants,setn_kills,setn_valid_mrs,setg_seed11_kills,setg_seed11_valid_mrs,setg_allseeds_kills,setg_seeds_with_valid_mr
GuavaClass?indexOf?0,Guava,12,8,3,0,1,0,0
GuavaClass?join?0,Guava,5,3,3,,0,,0
GuavaClass?meanOf?0,Guava,12,10,2,10,3,10,3
GuavaClass?min?0,Guava,9,6,3,5,2,6,3
GuavaClass?padStart?0,Guava,7,5,2,6,3,6,2
GuavaClass?repeat?0,Guava,18,13,4,16,3,16,3
GuavaClass?sort?0,Guava,8,6,2,0,1,0,0
GuavaClass?truncate?0,Guava,10,6,2,6,2,6,2
LangClass?abbreviate?0,Lang,39,11,1,18,4,19,3
LangClass?capitalize?0,Lang,10,8,3,0,0,9,2
LangClass?center?0,Lang,12,6,3,8,3,8,2
LangClass?difference?0,Lang,6,4,2,0,1,3,2
LangClass?isSorted?0,Lang,11,3,3,9,2,9,2
MathClass?acos?0,Math,76,0,0,0,0,39,3
MathClass?gcd?0,Math,25,13,4,11,2,21,12
MathClass?log10?0,Math,15,5,2,8,1,9,4
MathClass?millerRabinPrimeTest?0,Math,25,3,1,0,0,18,9
MathClass?nextPrime?0,Math,20,17,3,15,2,19,12
MathClass?pow?0,Math,10,0,0,7,3,7,12
MathClass?sin?0,Math,26,7,1,16,3,18,12
MathClass?sinh?0,Math,123,24,2,36,2,68,11
MathClass?stirlingS2?0,Math,46,8,4,17,3,30,12
MathClass?tan?0,Math,37,10,1,16,3,20,12
