mr_id,sut_method,block
M01,add,G
M02,add,L_star
M03,add,T_star
M04,clamp,G
M05,clamp,L_star
M06,clamp,O_le
M07,clamp,T_star
M08,exactLog2,L_star
M09,exactLog2,O_le
M10,exactLog2,T_star
M11,gcdSig,G
M12,gcdSig,L_star
M13,hypotSig,G
M14,hypotSig,L_star
M15,hypotSig,O_le
M16,isSequence,B_rel
M17,isSequence,G
M18,isSequence,L_star
M19,isSequence,O_le
M20,isSequence,T_rev
M21,isSequence,T_star
M22,lcmSig,G
M23,lcmSig,L_star
M24,midpoint,G
M25,midpoint,L_star
M26,midpoint,O_le
M27,midpoint,T_star
M28,powerSig,D_star
M29,powerSig,E_star
M30,powerSig,G
M31,powerSig,L_star
M32,powerSig,T_star
M33,signum,D_star
M34,signum,G
M35,signum,L_star
M36,signum,O_le
S01,SACOS,O_le
S02,SACOS,O_le
S03,SACOS,O_le
S04,SACOS,O_le
S05,SACOS,O_le
