mr_id,sut_method,block,confidence,note
M01,add,,,
M02,add,,,
M03,add,,,
M04,clamp,,,
M05,clamp,,,
M06,clamp,,,
M07,clamp,,,
M08,exactLog2,,,
M09,exactLog2,,,
M10,exactLog2,,,
M11,gcdSig,,,
M12,gcdSig,,,
M13,hypotSig,,,
M14,hypotSig,,,
M15,hypotSig,,,
M16,isSequence,,,
M17,isSequence,,,
M18,isSequence,,,
M19,isSequence,,,
M20,isSequence,,,
M21,isSequence,,,
M22,lcmSig,,,
M23,lcmSig,,,
M24,midpoint,,,
M25,midpoint,,,
M26,midpoint,,,
M27,midpoint,,,
M28,powerSig,,,
M29,powerSig,,,
M30,powerSig,,,
M31,powerSig,,,
M32,powerSig,,,
M33,signum,,,
M34,signum,,,
M35,signum,,,
M36,signum,,,
S01,SACOS,,,
S02,SACOS,,,
S03,SACOS,,,
S04,SACOS,,,
S05,SACOS,,,
