item_id,JIR_raw,JOR_raw
M01,((Math.abs(((double) i_this_real_f) - ((double) i_other_real_s)) < 1.0E-4) && (Math.abs(((double) i_this_imag_f) - ((double) i_other_imag_s)) < 1.0E-4) && (Math.abs(((double) i_other_real_f) - ((double) i_this_real_s)) < 1.0E-4) && (Math.abs(((double) i_other_imag_f) - ((double) i_this_imag_s)) < 1.0E-4)),((Math.abs(((double) o_return_real_f) - ((double) o_return_real_s)) < 1.0E-4) && (Math.abs(((double) o_return_imag_f) - ((double) o_return_imag_s)) < 1.0E-4))
M02,((Math.abs(((double) i_this_real_f) - (2.0 * ((double) i_this_real_s))) < 1.0E-4) && (Math.abs(((double) i_this_imag_f) - (2.0 * ((double) i_this_imag_s))) < 1.0E-4) && (Math.abs(((double) i_other_real_f) - (2.0 * ((double) i_other_real_s))) < 1.0E-4) && (Math.abs(((double) i_other_imag_f) - (2.0 * ((double) i_other_imag_s))) < 1.0E-4)),((Math.abs(((double) o_return_real_f) - (2.0 * ((double) o_return_real_s))) < 1.0E-4) && (Math.abs(((double) o_return_imag_f) - (2.0 * ((double) o_return_imag_s))) < 1.0E-4))
M03,((Math.abs(((double) i_this_real_f) - (((double) i_this_real_s) + 1.0)) < 1.0E-4) && (Math.abs(((double) i_this_imag_f) - ((double) i_this_imag_s)) < 1.0E-4) && (Math.abs(((double) i_other_real_f) - ((double) i_other_real_s)) < 1.0E-4) && (Math.abs(((double) i_other_imag_f) - ((double) i_other_imag_s)) < 1.0E-4)),((Math.abs(((double) o_return_real_f) - (((double) o_return_real_s) + 1.0)) < 1.0E-4) && (Math.abs(((double) o_return_imag_f) - ((double) o_return_imag_s)) < 1.0E-4))
M04,(Math.abs(((double) i_lo_f) - (-((double) i_hi_s))) < 1.0E-4) && (Math.abs(((double) i_hi_f) - (-((double) i_lo_s))) < 1.0E-4) && (Math.abs(((double) i_x_f) - (-((double) i_x_s))) < 1.0E-4),Math.abs(((double) o_return_f) - (-((double) o_return_s))) < 1.0E-4
M05,(Math.abs(i_lo_f - 2.0 * i_lo_s) < 1.0E-4) && (Math.abs(i_hi_f - 2.0 * i_hi_s) < 1.0E-4) && (Math.abs(i_x_f - 2.0 * i_x_s) < 1.0E-4),(Math.abs(o_return_f - 2.0 * o_return_s) < 1.0E-4)
M06,(Math.abs(i_lo_s - i_lo_f) < 1.0E-4) && (Math.abs(i_hi_s - i_hi_f) < 1.0E-4) && (i_x_s <= i_x_f),o_return_s <= o_return_f
M07,((Math.abs(((double) i_lo_f) - (((double) i_lo_s) + 1.0)) < 1.0E-4) && (Math.abs(((double) i_hi_f) - (((double) i_hi_s) + 1.0)) < 1.0E-4) && (Math.abs(((double) i_x_f) - (((double) i_x_s) + 1.0)) < 1.0E-4)),(Math.abs(((double) o_return_f) - (((double) o_return_s) + 1.0)) < 1.0E-4)
M08,(i_n_f == (2 * i_n_s)),(o_return_f == (o_return_s + 1))
M09,i_n_s > 0 && (i_n_s & (i_n_s - 1)) == 0 && i_n_f > 0 && (i_n_f & (i_n_f - 1)) == 0 && i_n_s <= i_n_f,o_return_s <= o_return_f
M10,(Math.abs(((double) i_n_f) - (2.0 * ((double) i_n_s))) < 1.0E-4),(Math.abs(((double) o_return_f) - (((double) o_return_s) + 1.0)) < 1.0E-4)
