item_id,subject,mr_name,input_relation_JIR,output_relation_JOR
M01,ComplexSignal?add?0,G_swap_negate,((Math.abs(((double) i_this_real_f) - ((double) i_other_real_s)) < 1.0E-4) && (Math.abs(((double) i_this_imag_f) - ((double) i_other_imag_s)) < 1.0E-4) && (Math.abs(((double) i_other_real_f) - ((double) i_this_real_s)) < 1.0E-4) && (Math.abs(((double) i_other_imag_f) - ((double) i_this_imag_s)) < 1.0E-4)),((Math.abs(((double) o_return_real_f) - ((double) o_return_real_s)) < 1.0E-4) && (Math.abs(((double) o_return_imag_f) - ((double) o_return_imag_s)) < 1.0E-4))
M02,ComplexSignal?add?0,L_scale,((Math.abs(((double) i_this_real_f) - (2.0 * ((double) i_this_real_s))) < 1.0E-4) && (Math.abs(((double) i_this_imag_f) - (2.0 * ((double) i_this_imag_s))) < 1.0E-4) && (Math.abs(((double) i_other_real_f) - (2.0 * ((double) i_other_real_s))) < 1.0E-4) && (Math.abs(((double) i_other_imag_f) - (2.0 * ((double) i_other_imag_s))) < 1.0E-4)),((Math.abs(((double) o_return_real_f) - (2.0 * ((double) o_return_real_s))) < 1.0E-4) && (Math.abs(((double) o_return_imag_f) - (2.0 * ((double) o_return_imag_s))) < 1.0E-4))
M03,ComplexSignal?add?0,T_shift_re,((Math.abs(((double) i_this_real_f) - (((double) i_this_real_s) + 1.0)) < 1.0E-4) && (Math.abs(((double) i_this_imag_f) - ((double) i_this_imag_s)) < 1.0E-4) && (Math.abs(((double) i_other_real_f) - ((double) i_other_real_s)) < 1.0E-4) && (Math.abs(((double) i_other_imag_f) - ((double) i_other_imag_s)) < 1.0E-4)),((Math.abs(((double) o_return_real_f) - (((double) o_return_real_s) + 1.0)) < 1.0E-4) && (Math.abs(((double) o_return_imag_f) - ((double) o_return_imag_s)) < 1.0E-4))
M04,MathSignalClass?clamp?0,G_negate_bound_swap,(Math.abs(((double) i_lo_f) - (-((double) i_hi_s))) < 1.0E-4) && (Math.abs(((double) i_hi_f) - (-((double) i_lo_s))) < 1.0E-4) && (Math.abs(((double) i_x_f) - (-((double) i_x_s))) < 1.0E-4),Math.abs(((double) o_return_f) - (-((double) o_return_s))) < 1.0E-4
M05,MathSignalClass?clamp?0,L_scale,(Math.abs(i_lo_f - 2.0 * i_lo_s) < 1.0E-4) && (Math.abs(i_hi_f - 2.0 * i_hi_s) < 1.0E-4) && (Math.abs(i_x_f - 2.0 * i_x_s) < 1.0E-4),(Math.abs(o_return_f - 2.0 * o_return_s) < 1.0E-4)
M06,MathSignalClass?clamp?0,O_le_mono_in_x,(Math.abs(i_lo_s - i_lo_f) < 1.0E-4) && (Math.abs(i_hi_s - i_hi_f) < 1.0E-4) && (i_x_s <= i_x_f),o_return_s <= o_return_f
M07,MathSignalClass?clamp?0,T_shift,((Math.abs(((double) i_lo_f) - (((double) i_lo_s) + 1.0)) < 1.0E-4) && (Math.abs(((double) i_hi_f) - (((double) i_hi_s) + 1.0)) < 1.0E-4) && (Math.abs(((double) i_x_f) - (((double) i_x_s) + 1.0)) < 1.0E-4)),(Math.abs(((double) o_return_f) - (((double) o_return_s) + 1.0)) < 1.0E-4)
M08,MathSignalClass?exactLog2?0,L_idem_at_one,(i_n_f == (2 * i_n_s)),(o_return_f == (o_return_s + 1))
M09,MathSignalClass?exactLog2?0,O_le_monotone,i_n_s > 0 && (i_n_s & (i_n_s - 1)) == 0 && i_n_f > 0 && (i_n_f & (i_n_f - 1)) == 0 && i_n_s <= i_n_f,o_return_s <= o_return_f
M10,MathSignalClass?exactLog2?0,T_double,(Math.abs(((double) i_n_f) - (2.0 * ((double) i_n_s))) < 1.0E-4),(Math.abs(((double) o_return_f) - (((double) o_return_s) + 1.0)) < 1.0E-4)
M11,MathSignalClass?gcdSig?0,G_swap_negate,(i_a_f == i_b_s) && (i_b_f == i_a_s),(o_return_f == o_return_s)
M12,MathSignalClass?gcdSig?0,L_scale,((long) i_a_f) == 2L * ((long) i_a_s) && ((long) i_b_f) == 2L * ((long) i_b_s),((long) o_return_f) == 2L * ((long) o_return_s)
M13,MathSignalClass?hypotSig?0,G_swap_negate,((Math.abs(((double) i_a_f) - ((double) i_b_s)) < 1.0E-4) && (Math.abs(((double) i_b_f) - ((double) i_a_s)) < 1.0E-4)),(Math.abs(((double) o_return_f) - ((double) o_return_s)) < 1.0E-4)
M14,MathSignalClass?hypotSig?0,L_scale,((Math.abs(((double) i_a_f) - (2.0 * ((double) i_a_s))) < 1.0E-4) && (Math.abs(((double) i_b_f) - (2.0 * ((double) i_b_s))) < 1.0E-4)),(Math.abs(((double) o_return_f) - (2.0 * ((double) o_return_s))) < 1.0E-4)
M15,MathSignalClass?hypotSig?0,O_le_mono_in_abs,(Math.abs(i_a_s) <= Math.abs(i_a_f)) && (Math.abs(i_b_s - i_b_f) < 1.0E-4),o_return_s <= o_return_f
M16,MathSignalClass?isSequence?0,B_rel_xor_reverse,Math.abs(i_a_f - i_c_s) < 1.0E-4 && Math.abs(i_b_f - i_b_s) < 1.0E-4 && Math.abs(i_c_f - i_a_s) < 1.0E-4,!(o_return_s && o_return_f)
M17,MathSignalClass?isSequence?0,G_negate_reverse,((Math.abs(((double) i_a_f) - (-((double) i_c_s))) < 1.0E-4) && (Math.abs(((double) i_b_f) - (-((double) i_b_s))) < 1.0E-4) && (Math.abs(((double) i_c_f) - (-((double) i_a_s))) < 1.0E-4)),(o_return_f == o_return_s)
M18,MathSignalClass?isSequence?0,L_scale_pos,(Math.abs(((double) i_a_f) - (2.0 * ((double) i_a_s))) < 1.0E-4) && (Math.abs(((double) i_b_f) - (2.0 * ((double) i_b_s))) < 1.0E-4) && (Math.abs(((double) i_c_f) - (2.0 * ((double) i_c_s))) < 1.0E-4),(o_return_f == o_return_s)
M19,MathSignalClass?isSequence?0,O_le_transitivity,(i_a_f <= i_a_s) && (i_b_s <= i_b_f) && (i_c_s <= i_c_f),(!o_return_s) || o_return_f
M20,MathSignalClass?isSequence?0,T_rev_exclusion,Math.abs(i_a_f - i_c_s) < 1.0E-4 && Math.abs(i_b_f - i_b_s) < 1.0E-4 && Math.abs(i_c_f - i_a_s) < 1.0E-4,!(o_return_s && o_return_f)
M21,MathSignalClass?isSequence?0,T_shift,(Math.abs((i_a_f - i_a_s) - (i_b_f - i_b_s)) < 1.0E-4) && (Math.abs((i_b_f - i_b_s) - (i_c_f - i_c_s)) < 1.0E-4),(o_return_f == o_return_s)
M22,MathSignalClass?lcmSig?0,G_swap_negate,((i_a_f == i_b_s) && (i_b_f == i_a_s)),(o_return_f == o_return_s)
M23,MathSignalClass?lcmSig?0,L_scale,((i_a_f == 2 * i_a_s) && (i_b_f == 2 * i_b_s)),(o_return_f == 2 * o_return_s)
