item_id,subject,mr_name,category,notes
M01,ComplexSignal?add?0,G_swap_negate,,
M02,ComplexSignal?add?0,L_scale,,
M03,ComplexSignal?add?0,T_shift_re,,
M04,MathSignalClass?clamp?0,G_negate_bound_swap,,
M05,MathSignalClass?clamp?0,L_scale,,
M06,MathSignalClass?clamp?0,O_le_mono_in_x,,
M07,MathSignalClass?clamp?0,T_shift,,
M08,MathSignalClass?exactLog2?0,L_idem_at_one,,
M09,MathSignalClass?exactLog2?0,O_le_monotone,,
M10,MathSignalClass?exactLog2?0,T_double,,
M11,MathSignalClass?gcdSig?0,G_swap_negate,,
M12,MathSignalClass?gcdSig?0,L_scale,,
M13,MathSignalClass?hypotSig?0,G_swap_negate,,
M14,MathSignalClass?hypotSig?0,L_scale,,
M15,MathSignalClass?hypotSig?0,O_le_mono_in_abs,,
M16,MathSignalClass?isSequence?0,B_rel_xor_reverse,,
M17,MathSignalClass?isSequence?0,G_negate_reverse,,
M18,MathSignalClass?isSequence?0,L_scale_pos,,
M19,MathSignalClass?isSequence?0,O_le_transitivity,,
M20,MathSignalClass?isSequence?0,T_rev_exclusion,,
M21,MathSignalClass?isSequence?0,T_shift,,
M22,MathSignalClass?lcmSig?0,G_swap_negate,,
M23,MathSignalClass?lcmSig?0,L_scale,,
M24,MathSignalClass?midpoint?0,G_swap_negate,,
M25,MathSignalClass?midpoint?0,L_scale,,
M26,MathSignalClass?midpoint?0,O_le_mono_in_a,,
M27,MathSignalClass?midpoint?0,T_shift,,
M28,MathSignalClass?powerSig?0,D_reciprocal_exp,,
M29,MathSignalClass?powerSig?0,E_power_of_power,,
M30,MathSignalClass?powerSig?0,G_odd_negate,,
M31,MathSignalClass?powerSig?0,L_scale_base,,
M32,MathSignalClass?powerSig?0,T_exp_step,,
M33,MathSignalClass?signum?0,D_reciprocal,,
M34,MathSignalClass?signum?0,G_negate,,
M35,MathSignalClass?signum?0,L_scale_pos,,
M36,MathSignalClass?signum?0,O_le_monotone,,
