EXPERIMENT,MR,FP,MS
assertions_seed11,GuavaClass?indexOf?0@SequenceFlip??1,10.00%(5/50),nan%(0/0)
assertions_seed11,GuavaClass?indexOf?0@SequenceRemove?0?1,4.00%(2/50),nan%(0/0)
assertions_seed11,GuavaClass?indexOf?0@SequenceRemove?0?2,12.00%(6/50),nan%(0/0)
assertions_seed11,GuavaClass?indexOf?0@SwitchParams??1@2,nan%(0/0),0.00%(0/12)
assertions_seed12,GuavaClass?indexOf?0@SequenceFlip??1,10.00%(5/50),nan%(0/0)
assertions_seed12,GuavaClass?indexOf?0@SequenceFlip??2,22.00%(11/50),nan%(0/0)
assertions_seed12,GuavaClass?indexOf?0@SequenceRemove?0?1,4.00%(2/50),nan%(0/0)
assertions_seed12,GuavaClass?indexOf?0@SequenceRemove?0?2,12.00%(6/50),nan%(0/0)
assertions_seed13,GuavaClass?indexOf?0@SequenceFlip??2,22.00%(11/50),nan%(0/0)
assertions_seed13,GuavaClass?indexOf?0@SequenceRemove?-1?1,16.00%(8/50),nan%(0/0)
assertions_seed13,GuavaClass?indexOf?0@SequenceRemove?0?1,10.00%(5/50),nan%(0/0)
assertions_seed13,GuavaClass?indexOf?0@SequenceRemove?0?2,20.00%(10/50),nan%(0/0)
