EXPERIMENT,MR,FP,MS
assertions_seed11,GuavaClass?padStart?0@NumericAddition?-1.000000?2,0.00%(0/100),85.71%(6/7)
assertions_seed11,GuavaClass?padStart?0@NumericAddition?1.000000?2,0.00%(0/100),85.71%(6/7)
assertions_seed11,GuavaClass?padStart?0@SequenceFlip??1,0.00%(0/100),85.71%(6/7)
assertions_seed11,GuavaClass?padStart?0@SequenceRemove?-1?1,9.00%(9/100),nan%(0/0)
assertions_seed12,GuavaClass?padStart?0@NumericAddition?-1.000000?2,3.00%(3/100),nan%(0/0)
assertions_seed12,GuavaClass?padStart?0@NumericMultiplication?-1.000000?2,24.00%(24/100),nan%(0/0)
assertions_seed12,GuavaClass?padStart?0@SequenceFlip??1,15.00%(15/100),nan%(0/0)
assertions_seed12,GuavaClass?padStart?0@SequenceRemove?0?1,43.00%(43/100),nan%(0/0)
assertions_seed13,GuavaClass?padStart?0@NumericMultiplication?-1.000000?2,27.00%(27/100),nan%(0/0)
assertions_seed13,GuavaClass?padStart?0@SequenceFlip??1,3.00%(3/100),nan%(0/0)
assertions_seed13,GuavaClass?padStart?0@SequenceRemove?-1?1,0.00%(0/100),85.71%(6/7)
assertions_seed13,GuavaClass?padStart?0@SequenceRemove?0?1,1.00%(1/100),nan%(0/0)
