EXPERIMENT,MR,FP,MS
assertions_seed11,GuavaClass?sort?0@NumericAddition?-1.000000?3,50.00%(1/2),nan%(0/0)
assertions_seed11,GuavaClass?sort?0@NumericAddition?1.000000?2,100.00%(2/2),nan%(0/0)
assertions_seed11,GuavaClass?sort?0@SequenceRemove?0?1,33.33%(1/3),nan%(0/0)
assertions_seed11,GuavaClass?sort?0@SwitchParams??2@3,nan%(0/0),0.00%(0/8)
assertions_seed12,GuavaClass?sort?0@NumericAddition?-1.000000?2,100.00%(2/2),nan%(0/0)
assertions_seed12,GuavaClass?sort?0@NumericAddition?1.000000?2,100.00%(2/2),nan%(0/0)
assertions_seed12,GuavaClass?sort?0@SequenceFlip??1,33.33%(1/3),nan%(0/0)
assertions_seed12,GuavaClass?sort?0@SequenceRemove?0?1,100.00%(3/3),nan%(0/0)
assertions_seed13,GuavaClass?sort?0@NumericAddition?-1.000000?3,50.00%(1/2),nan%(0/0)
assertions_seed13,GuavaClass?sort?0@NumericMultiplication?-1.000000?3,nan%(0/0),0.00%(0/8)
assertions_seed13,GuavaClass?sort?0@SequenceFlip??1,100.00%(3/3),nan%(0/0)
assertions_seed13,GuavaClass?sort?0@SequenceRemove?0?1,100.00%(3/3),nan%(0/0)
