EXPERIMENT,MR,FP,MS
assertions_seed11,LangClass?center?0@NumericAddition?1.000000?2,0.00%(0/100),66.67%(8/12)
assertions_seed11,LangClass?center?0@SequenceRemove?-1?3,0.00%(0/100),66.67%(8/12)
assertions_seed11,LangClass?center?0@SequenceRemove?0?1,10.00%(10/100),nan%(0/0)
assertions_seed11,LangClass?center?0@SwitchParams??1@3,nan%(0/0),0.00%(0/12)
assertions_seed12,LangClass?center?0@NumericMultiplication?-1.000000?2,48.00%(48/100),nan%(0/0)
assertions_seed12,LangClass?center?0@SequenceFlip??1,4.00%(4/100),nan%(0/0)
assertions_seed12,LangClass?center?0@SequenceRemove?0?1,2.00%(2/100),nan%(0/0)
assertions_seed12,LangClass?center?0@SequenceRemove?0?3,4.00%(4/100),nan%(0/0)
assertions_seed13,LangClass?center?0@NumericAddition?2.000000?2,48.00%(48/100),nan%(0/0)
assertions_seed13,LangClass?center?0@SequenceRemove?-1?1,0.00%(0/100),50.00%(6/12)
assertions_seed13,LangClass?center?0@SequenceRemove?0?1,0.00%(0/100),50.00%(6/12)
assertions_seed13,LangClass?center?0@SequenceRemove?0?3,4.00%(4/100),nan%(0/0)
