EXPERIMENT,MR,FP,MS
assertions_seed11,LangClass?difference?0@SequenceFlip??1,1.00%(1/100),nan%(0/0)
assertions_seed11,LangClass?difference?0@SequenceRemove?-1?2,5.00%(5/100),nan%(0/0)
assertions_seed11,LangClass?difference?0@SequenceRemove?0?1,5.00%(5/100),nan%(0/0)
assertions_seed11,LangClass?difference?0@SwitchParams??1@2,nan%(0/0),0.00%(0/6)
assertions_seed12,LangClass?difference?0@SequenceFlip??1,7.00%(7/100),nan%(0/0)
assertions_seed12,LangClass?difference?0@SequenceFlip??2,5.00%(5/100),nan%(0/0)
assertions_seed12,LangClass?difference?0@SequenceRemove?-1?1,10.00%(10/100),nan%(0/0)
assertions_seed12,LangClass?difference?0@SequenceRemove?-1?2,0.00%(0/100),50.00%(3/6)
assertions_seed13,LangClass?difference?0@SequenceFlip??2,0.00%(0/100),50.00%(3/6)
assertions_seed13,LangClass?difference?0@SequenceRemove?-1?1,12.00%(12/100),nan%(0/0)
assertions_seed13,LangClass?difference?0@SequenceRemove?-1?2,0.00%(0/100),50.00%(3/6)
assertions_seed13,LangClass?difference?0@SequenceRemove?0?2,5.00%(5/100),nan%(0/0)
