EXPERIMENT,MR,FP,MS
assertions_seed11,MR12,43.33%(13/30),nan%(0/0)
assertions_seed11,MR13,93.33%(28/30),nan%(0/0)
assertions_seed11,MR14,96.67%(29/30),nan%(0/0)
assertions_seed11,MR15,80.00%(24/30),nan%(0/0)
assertions_seed12,MR12,33.33%(10/30),nan%(0/0)
assertions_seed12,MR13,43.33%(13/30),nan%(0/0)
assertions_seed12,MR14,66.67%(20/30),nan%(0/0)
assertions_seed12,MR15,53.33%(16/30),nan%(0/0)
assertions_seed13,MR12,93.33%(28/30),nan%(0/0)
assertions_seed13,MR13,0.00%(0/30),47.37%(36/76)
assertions_seed13,MR14,53.33%(16/30),nan%(0/0)
assertions_seed13,MR15,70.00%(21/30),nan%(0/0)
assertions_seed21,MR12,43.33%(13/30),nan%(0/0)
assertions_seed21,MR13,93.33%(28/30),nan%(0/0)
assertions_seed21,MR14,6.67%(2/30),nan%(0/0)
assertions_seed21,MR15,40.00%(12/30),nan%(0/0)
assertions_seed22,MR12,33.33%(10/30),nan%(0/0)
assertions_seed22,MR13,43.33%(13/30),nan%(0/0)
assertions_seed22,MR14,93.33%(28/30),nan%(0/0)
assertions_seed22,MR15,60.00%(18/30),nan%(0/0)
assertions_seed23,MR12,43.33%(13/30),nan%(0/0)
assertions_seed23,MR13,93.33%(28/30),nan%(0/0)
assertions_seed23,MR14,40.00%(12/30),nan%(0/0)
assertions_seed23,MR15,66.67%(20/30),nan%(0/0)
assertions_seed31,MR12,33.33%(10/30),nan%(0/0)
assertions_seed31,MR13,46.67%(14/30),nan%(0/0)
assertions_seed31,MR14,93.33%(28/30),nan%(0/0)
assertions_seed31,MR15,50.00%(15/30),nan%(0/0)
assertions_seed32,MR12,46.67%(14/30),nan%(0/0)
assertions_seed32,MR13,3.33%(1/30),nan%(0/0)
assertions_seed32,MR14,56.67%(17/30),nan%(0/0)
assertions_seed32,MR15,50.00%(15/30),nan%(0/0)
assertions_seed33,MR12,43.33%(13/30),nan%(0/0)
assertions_seed33,MR13,93.33%(28/30),nan%(0/0)
assertions_seed33,MR14,0.00%(0/30),46.05%(35/76)
assertions_seed33,MR15,63.33%(19/30),nan%(0/0)
assertions_seed41,MR12,53.33%(16/30),nan%(0/0)
assertions_seed41,MR13,0.00%(0/30),50.00%(38/76)
assertions_seed41,MR14,80.00%(24/30),nan%(0/0)
assertions_seed41,MR15,53.33%(16/30),nan%(0/0)
assertions_seed42,MR12,33.33%(10/30),nan%(0/0)
assertions_seed42,MR13,53.33%(16/30),nan%(0/0)
assertions_seed42,MR14,93.33%(28/30),nan%(0/0)
assertions_seed42,MR15,53.33%(16/30),nan%(0/0)
assertions_seed43,MR12,43.33%(13/30),nan%(0/0)
assertions_seed43,MR13,93.33%(28/30),nan%(0/0)
assertions_seed43,MR14,40.00%(12/30),nan%(0/0)
assertions_seed43,MR15,63.33%(19/30),nan%(0/0)
