EXPERIMENT,MR,FP,MS
assertions_seed11,MR0,0.00%(0/100),44.00%(11/25)
assertions_seed11,MR1,3.57%(1/28),nan%(0/0)
assertions_seed11,MR2,3.00%(3/100),nan%(0/0)
assertions_seed11,MR3,0.00%(0/100),28.00%(7/25)
assertions_seed12,MR0,0.00%(0/100),44.00%(11/25)
assertions_seed12,MR1,0.00%(0/84),80.00%(20/25)
assertions_seed12,MR2,0.00%(0/100),40.00%(10/25)
assertions_seed12,MR3,0.00%(0/12),76.00%(19/25)
assertions_seed13,MR0,0.00%(0/74),72.00%(18/25)
assertions_seed13,MR1,0.00%(0/100),44.00%(11/25)
assertions_seed13,MR2,0.00%(0/100),48.00%(12/25)
assertions_seed13,MR3,0.00%(0/13),40.00%(10/25)
assertions_seed21,MR0,0.00%(0/100),44.00%(11/25)
assertions_seed21,MR1,0.00%(0/12),72.00%(18/25)
assertions_seed21,MR2,0.00%(0/5),40.00%(10/25)
assertions_seed21,MR3,7.69%(1/13),nan%(0/0)
assertions_seed22,MR0,4.00%(4/100),nan%(0/0)
assertions_seed22,MR1,0.00%(0/100),48.00%(12/25)
assertions_seed22,MR2,0.00%(0/4),68.00%(17/25)
assertions_seed22,MR3,0.00%(0/100),36.00%(9/25)
assertions_seed23,MR0,0.00%(0/84),80.00%(20/25)
assertions_seed23,MR1,0.00%(0/100),36.00%(9/25)
assertions_seed23,MR2,0.00%(0/5),40.00%(10/25)
assertions_seed23,MR3,0.00%(0/100),28.00%(7/25)
assertions_seed31,MR0,0.00%(0/74),72.00%(18/25)
assertions_seed31,MR1,0.00%(0/100),48.00%(12/25)
assertions_seed31,MR2,0.00%(0/13),40.00%(10/25)
assertions_seed31,MR3,0.00%(0/100),44.00%(11/25)
assertions_seed32,MR0,0.00%(0/28),40.00%(10/25)
assertions_seed32,MR1,0.00%(0/4),68.00%(17/25)
assertions_seed32,MR2,8.33%(1/12),nan%(0/0)
assertions_seed32,MR3,0.00%(0/100),36.00%(9/25)
assertions_seed33,MR0,0.00%(0/74),72.00%(18/25)
assertions_seed33,MR1,0.00%(0/21),40.00%(10/25)
assertions_seed33,MR2,0.00%(0/100),48.00%(12/25)
assertions_seed33,MR3,0.00%(0/100),48.00%(12/25)
assertions_seed41,MR0,0.00%(0/84),80.00%(20/25)
assertions_seed41,MR1,0.00%(0/100),48.00%(12/25)
assertions_seed41,MR2,0.00%(0/5),40.00%(10/25)
assertions_seed41,MR3,0.00%(0/100),44.00%(11/25)
assertions_seed42,MR0,0.00%(0/84),80.00%(20/25)
assertions_seed42,MR1,5.00%(5/100),nan%(0/0)
assertions_seed42,MR2,0.00%(0/100),44.00%(11/25)
assertions_seed42,MR3,0.00%(0/5),40.00%(10/25)
assertions_seed43,MR0,0.00%(0/100),48.00%(12/25)
assertions_seed43,MR1,10.71%(3/28),nan%(0/0)
assertions_seed43,MR2,0.00%(0/21),40.00%(10/25)
assertions_seed43,MR3,0.00%(0/100),28.00%(7/25)
