EXPERIMENT,MR,FP,MS
assertions_seed11,MR16,22.73%(15/66),nan%(0/0)
assertions_seed11,MR17,16.67%(11/66),nan%(0/0)
assertions_seed11,MR18,0.00%(0/66),53.33%(8/15)
assertions_seed11,MR19,84.85%(56/66),nan%(0/0)
assertions_seed12,MR16,69.70%(46/66),nan%(0/0)
assertions_seed12,MR17,9.09%(6/66),nan%(0/0)
assertions_seed12,MR18,100.00%(66/66),nan%(0/0)
assertions_seed12,MR19,75.76%(50/66),nan%(0/0)
assertions_seed13,MR16,24.24%(16/66),nan%(0/0)
assertions_seed13,MR17,0.00%(0/66),53.33%(8/15)
assertions_seed13,MR18,7.58%(5/66),nan%(0/0)
assertions_seed13,MR19,28.79%(19/66),nan%(0/0)
assertions_seed21,MR16,24.24%(16/66),nan%(0/0)
assertions_seed21,MR17,0.00%(0/66),53.33%(8/15)
assertions_seed21,MR18,7.58%(5/66),nan%(0/0)
assertions_seed21,MR19,78.79%(52/66),nan%(0/0)
assertions_seed22,MR16,36.36%(24/66),nan%(0/0)
assertions_seed22,MR17,3.03%(2/66),nan%(0/0)
assertions_seed22,MR18,7.58%(5/66),nan%(0/0)
assertions_seed22,MR19,77.27%(51/66),nan%(0/0)
assertions_seed23,MR16,31.82%(21/66),nan%(0/0)
assertions_seed23,MR17,72.73%(48/66),nan%(0/0)
assertions_seed23,MR18,83.33%(55/66),nan%(0/0)
assertions_seed23,MR19,65.15%(43/66),nan%(0/0)
assertions_seed31,MR16,46.97%(31/66),nan%(0/0)
assertions_seed31,MR17,1.52%(1/66),nan%(0/0)
assertions_seed31,MR18,36.36%(24/66),nan%(0/0)
assertions_seed31,MR19,45.45%(30/66),nan%(0/0)
assertions_seed32,MR16,16.67%(11/66),nan%(0/0)
assertions_seed32,MR17,0.00%(0/66),53.33%(8/15)
assertions_seed32,MR18,22.73%(15/66),nan%(0/0)
assertions_seed32,MR19,0.00%(0/66),26.67%(4/15)
assertions_seed33,MR16,39.39%(26/66),nan%(0/0)
assertions_seed33,MR17,30.30%(20/66),nan%(0/0)
assertions_seed33,MR18,45.45%(30/66),nan%(0/0)
assertions_seed33,MR19,46.97%(31/66),nan%(0/0)
assertions_seed41,MR16,48.48%(32/66),nan%(0/0)
assertions_seed41,MR17,7.58%(5/66),nan%(0/0)
assertions_seed41,MR18,100.00%(66/66),nan%(0/0)
assertions_seed41,MR19,62.12%(41/66),nan%(0/0)
assertions_seed42,MR16,30.30%(20/66),nan%(0/0)
assertions_seed42,MR17,18.18%(12/66),nan%(0/0)
assertions_seed42,MR18,100.00%(66/66),nan%(0/0)
assertions_seed42,MR19,31.82%(21/66),nan%(0/0)
assertions_seed43,MR16,13.64%(9/66),nan%(0/0)
assertions_seed43,MR17,19.70%(13/66),nan%(0/0)
assertions_seed43,MR18,66.67%(44/66),nan%(0/0)
assertions_seed43,MR19,34.85%(23/66),nan%(0/0)
