EXPERIMENT,MR,FP,MS
assertions_seed11,MR4,43.43%(43/99),nan%(0/0)
assertions_seed11,MR5,68.69%(68/99),nan%(0/0)
assertions_seed11,MR6,2.02%(2/99),nan%(0/0)
assertions_seed11,MR7,21.43%(3/14),nan%(0/0)
assertions_seed12,MR4,0.00%(0/99),32.00%(8/25)
assertions_seed12,MR5,12.12%(12/99),nan%(0/0)
assertions_seed12,MR6,0.00%(0/99),68.00%(17/25)
assertions_seed12,MR7,0.00%(0/7),32.00%(8/25)
assertions_seed13,MR4,3.03%(3/99),nan%(0/0)
assertions_seed13,MR5,13.13%(13/99),nan%(0/0)
assertions_seed13,MR6,1.49%(1/67),nan%(0/0)
assertions_seed13,MR7,0.00%(0/60),68.00%(17/25)
assertions_seed21,MR4,11.11%(11/99),nan%(0/0)
assertions_seed21,MR5,0.00%(0/99),68.00%(17/25)
assertions_seed21,MR6,12.12%(12/99),nan%(0/0)
assertions_seed21,MR7,0.00%(0/98),56.00%(14/25)
assertions_seed22,MR4,15.15%(15/99),nan%(0/0)
assertions_seed22,MR5,0.00%(0/99),32.00%(8/25)
assertions_seed22,MR6,0.00%(0/7),32.00%(8/25)
assertions_seed22,MR7,0.00%(0/98),32.00%(8/25)
assertions_seed23,MR4,69.70%(69/99),nan%(0/0)
assertions_seed23,MR5,0.00%(0/7),32.00%(8/25)
assertions_seed23,MR6,21.43%(3/14),nan%(0/0)
assertions_seed23,MR7,0.00%(0/67),36.00%(9/25)
assertions_seed31,MR4,68.69%(68/99),nan%(0/0)
assertions_seed31,MR5,1.01%(1/99),nan%(0/0)
assertions_seed31,MR6,0.00%(0/98),32.00%(8/25)
assertions_seed31,MR7,0.00%(0/60),32.00%(8/25)
assertions_seed32,MR4,62.63%(62/99),nan%(0/0)
assertions_seed32,MR5,68.69%(68/99),nan%(0/0)
assertions_seed32,MR6,0.00%(0/7),32.00%(8/25)
assertions_seed32,MR7,21.43%(3/14),nan%(0/0)
assertions_seed33,MR4,10.10%(10/99),nan%(0/0)
assertions_seed33,MR5,42.86%(3/7),nan%(0/0)
assertions_seed33,MR6,0.00%(0/4),32.00%(8/25)
assertions_seed33,MR7,4.48%(3/67),nan%(0/0)
assertions_seed41,MR4,10.10%(10/99),nan%(0/0)
assertions_seed41,MR5,56.57%(56/99),nan%(0/0)
assertions_seed41,MR6,12.24%(12/98),nan%(0/0)
assertions_seed41,MR7,21.43%(3/14),nan%(0/0)
assertions_seed42,MR4,0.00%(0/99),32.00%(8/25)
assertions_seed42,MR5,61.62%(61/99),nan%(0/0)
assertions_seed42,MR6,0.00%(0/99),68.00%(17/25)
assertions_seed42,MR7,50.00%(2/4),nan%(0/0)
assertions_seed43,MR4,11.11%(11/99),nan%(0/0)
assertions_seed43,MR5,3.03%(3/99),nan%(0/0)
assertions_seed43,MR6,2.02%(2/99),nan%(0/0)
assertions_seed43,MR7,2.99%(2/67),nan%(0/0)
