EXPERIMENT,MR,FP,MS
assertions_seed11,MR0,0.00%(0/86),75.00%(15/20)
assertions_seed11,MR1,17.44%(15/86),nan%(0/0)
assertions_seed11,MR2,0.00%(0/86),50.00%(10/20)
assertions_seed11,MR3,11.90%(5/42),nan%(0/0)
assertions_seed12,MR0,0.00%(0/86),80.00%(16/20)
assertions_seed12,MR1,0.00%(0/86),75.00%(15/20)
assertions_seed12,MR2,0.00%(0/86),70.00%(14/20)
assertions_seed12,MR3,0.00%(0/86),45.00%(9/20)
assertions_seed13,MR0,3.49%(3/86),nan%(0/0)
assertions_seed13,MR1,0.00%(0/86),80.00%(16/20)
assertions_seed13,MR2,0.00%(0/86),70.00%(14/20)
assertions_seed13,MR3,0.00%(0/86),60.00%(12/20)
assertions_seed21,MR0,0.00%(0/86),80.00%(16/20)
assertions_seed21,MR1,0.00%(0/86),80.00%(16/20)
assertions_seed21,MR2,0.00%(0/55),70.00%(14/20)
assertions_seed21,MR3,16.67%(7/42),nan%(0/0)
assertions_seed22,MR0,0.00%(0/86),75.00%(15/20)
assertions_seed22,MR1,0.00%(0/86),80.00%(16/20)
assertions_seed22,MR2,0.00%(0/86),45.00%(9/20)
assertions_seed22,MR3,27.27%(15/55),nan%(0/0)
assertions_seed23,MR0,0.00%(0/86),80.00%(16/20)
assertions_seed23,MR1,0.00%(0/86),80.00%(16/20)
assertions_seed23,MR2,0.00%(0/86),50.00%(10/20)
assertions_seed23,MR3,0.00%(0/42),55.00%(11/20)
assertions_seed31,MR0,0.00%(0/86),80.00%(16/20)
assertions_seed31,MR1,0.00%(0/86),80.00%(16/20)
assertions_seed31,MR2,0.00%(0/86),45.00%(9/20)
assertions_seed31,MR3,1.82%(1/55),nan%(0/0)
assertions_seed32,MR0,31.40%(27/86),nan%(0/0)
assertions_seed32,MR1,0.00%(0/86),75.00%(15/20)
assertions_seed32,MR2,nan%(0/0),0.00%(0/20)
assertions_seed32,MR3,0.00%(0/86),45.00%(9/20)
assertions_seed33,MR0,0.00%(0/86),80.00%(16/20)
assertions_seed33,MR1,nan%(0/0),0.00%(0/20)
assertions_seed33,MR2,16.28%(14/86),nan%(0/0)
assertions_seed33,MR3,16.36%(9/55),nan%(0/0)
assertions_seed41,MR0,12.79%(11/86),nan%(0/0)
assertions_seed41,MR1,0.00%(0/86),75.00%(15/20)
assertions_seed41,MR2,40.70%(35/86),nan%(0/0)
assertions_seed41,MR3,0.00%(0/86),45.00%(9/20)
assertions_seed42,MR0,50.00%(43/86),nan%(0/0)
assertions_seed42,MR1,0.00%(0/86),55.00%(11/20)
assertions_seed42,MR2,0.00%(0/86),45.00%(9/20)
assertions_seed42,MR3,0.00%(0/42),45.00%(9/20)
assertions_seed43,MR0,0.00%(0/86),80.00%(16/20)
assertions_seed43,MR1,0.00%(0/86),80.00%(16/20)
assertions_seed43,MR2,0.00%(0/86),75.00%(15/20)
assertions_seed43,MR3,11.63%(10/86),nan%(0/0)
