EXPERIMENT,MR,FP,MS
assertions_seed11,MR4,0.00%(0/18),70.00%(7/10)
assertions_seed11,MR5,0.00%(0/8),70.00%(7/10)
assertions_seed11,MR6,6.25%(1/16),nan%(0/0)
assertions_seed11,MR7,0.00%(0/18),70.00%(7/10)
assertions_seed12,MR4,0.00%(0/18),70.00%(7/10)
assertions_seed12,MR5,0.00%(0/8),70.00%(7/10)
assertions_seed12,MR6,0.00%(0/16),60.00%(6/10)
assertions_seed12,MR7,0.00%(0/14),70.00%(7/10)
assertions_seed13,MR4,27.78%(5/18),nan%(0/0)
assertions_seed13,MR5,12.50%(2/16),nan%(0/0)
assertions_seed13,MR6,0.00%(0/2),40.00%(4/10)
assertions_seed13,MR7,0.00%(0/14),70.00%(7/10)
assertions_seed21,MR4,5.56%(1/18),nan%(0/0)
assertions_seed21,MR5,0.00%(0/8),70.00%(7/10)
assertions_seed21,MR6,6.25%(1/16),nan%(0/0)
assertions_seed21,MR7,0.00%(0/14),70.00%(7/10)
assertions_seed22,MR4,0.00%(0/8),70.00%(7/10)
assertions_seed22,MR5,0.00%(0/16),70.00%(7/10)
assertions_seed22,MR6,0.00%(0/2),60.00%(6/10)
assertions_seed22,MR7,0.00%(0/14),70.00%(7/10)
assertions_seed23,MR4,0.00%(0/18),70.00%(7/10)
assertions_seed23,MR5,0.00%(0/8),70.00%(7/10)
assertions_seed23,MR6,6.25%(1/16),nan%(0/0)
assertions_seed23,MR7,5.56%(1/18),nan%(0/0)
assertions_seed31,MR4,22.22%(4/18),nan%(0/0)
assertions_seed31,MR5,0.00%(0/16),70.00%(7/10)
assertions_seed31,MR6,0.00%(0/8),70.00%(7/10)
assertions_seed31,MR7,0.00%(0/18),70.00%(7/10)
assertions_seed32,MR4,0.00%(0/8),70.00%(7/10)
assertions_seed32,MR5,6.25%(1/16),nan%(0/0)
assertions_seed32,MR6,0.00%(0/2),60.00%(6/10)
assertions_seed32,MR7,0.00%(0/14),70.00%(7/10)
assertions_seed33,MR4,0.00%(0/18),70.00%(7/10)
assertions_seed33,MR5,12.50%(2/16),nan%(0/0)
assertions_seed33,MR6,0.00%(0/8),70.00%(7/10)
assertions_seed33,MR7,6.25%(1/16),nan%(0/0)
assertions_seed41,MR4,0.00%(0/8),70.00%(7/10)
assertions_seed41,MR5,0.00%(0/16),70.00%(7/10)
assertions_seed41,MR6,0.00%(0/18),60.00%(6/10)
assertions_seed41,MR7,0.00%(0/2),40.00%(4/10)
assertions_seed42,MR4,0.00%(0/18),70.00%(7/10)
assertions_seed42,MR5,0.00%(0/8),70.00%(7/10)
assertions_seed42,MR6,12.50%(2/16),nan%(0/0)
assertions_seed42,MR7,33.33%(6/18),nan%(0/0)
assertions_seed43,MR4,25.00%(2/8),nan%(0/0)
assertions_seed43,MR5,0.00%(0/16),70.00%(7/10)
assertions_seed43,MR6,0.00%(0/2),40.00%(4/10)
assertions_seed43,MR7,0.00%(0/14),70.00%(7/10)
