EXPERIMENT,MR,FP,MS
assertions_seed11,MR20,0.00%(0/99),53.85%(14/26)
assertions_seed11,MR21,1.01%(1/99),nan%(0/0)
assertions_seed11,MR22,0.00%(0/99),50.00%(13/26)
assertions_seed11,MR23,0.00%(0/99),50.00%(13/26)
assertions_seed12,MR20,0.00%(0/99),50.00%(13/26)
assertions_seed12,MR21,0.00%(0/99),57.69%(15/26)
assertions_seed12,MR22,0.00%(0/99),61.54%(16/26)
assertions_seed12,MR23,0.00%(0/99),50.00%(13/26)
assertions_seed13,MR20,0.00%(0/99),53.85%(14/26)
assertions_seed13,MR21,1.01%(1/99),nan%(0/0)
assertions_seed13,MR22,0.00%(0/99),38.46%(10/26)
assertions_seed13,MR23,2.02%(2/99),nan%(0/0)
assertions_seed21,MR20,0.00%(0/99),50.00%(13/26)
assertions_seed21,MR21,0.00%(0/99),50.00%(13/26)
assertions_seed21,MR22,0.00%(0/99),50.00%(13/26)
assertions_seed21,MR23,0.00%(0/99),38.46%(10/26)
assertions_seed22,MR20,0.00%(0/99),50.00%(13/26)
assertions_seed22,MR21,0.00%(0/99),50.00%(13/26)
assertions_seed22,MR22,0.00%(0/99),46.15%(12/26)
assertions_seed22,MR23,0.00%(0/99),38.46%(10/26)
assertions_seed23,MR20,0.00%(0/99),50.00%(13/26)
assertions_seed23,MR21,0.00%(0/99),38.46%(10/26)
assertions_seed23,MR22,0.00%(0/99),38.46%(10/26)
assertions_seed23,MR23,0.00%(0/99),50.00%(13/26)
assertions_seed31,MR20,0.00%(0/99),53.85%(14/26)
assertions_seed31,MR21,0.00%(0/99),50.00%(13/26)
assertions_seed31,MR22,24.24%(24/99),nan%(0/0)
assertions_seed31,MR23,0.00%(0/99),46.15%(12/26)
assertions_seed32,MR20,1.01%(1/99),nan%(0/0)
assertions_seed32,MR21,0.00%(0/99),53.85%(14/26)
assertions_seed32,MR22,0.00%(0/99),42.31%(11/26)
assertions_seed32,MR23,0.00%(0/99),26.92%(7/26)
assertions_seed33,MR20,0.00%(0/99),53.85%(14/26)
assertions_seed33,MR21,24.24%(24/99),nan%(0/0)
assertions_seed33,MR22,0.00%(0/99),46.15%(12/26)
assertions_seed33,MR23,0.00%(0/99),26.92%(7/26)
assertions_seed41,MR20,0.00%(0/99),61.54%(16/26)
assertions_seed41,MR21,0.00%(0/99),50.00%(13/26)
assertions_seed41,MR22,53.54%(53/99),nan%(0/0)
assertions_seed41,MR23,0.00%(0/99),38.46%(10/26)
assertions_seed42,MR20,0.00%(0/99),61.54%(16/26)
assertions_seed42,MR21,9.09%(9/99),nan%(0/0)
assertions_seed42,MR22,33.33%(33/99),nan%(0/0)
assertions_seed42,MR23,7.07%(7/99),nan%(0/0)
assertions_seed43,MR20,4.04%(4/99),nan%(0/0)
assertions_seed43,MR21,0.00%(0/99),50.00%(13/26)
assertions_seed43,MR22,0.00%(0/99),42.31%(11/26)
assertions_seed43,MR23,0.00%(0/99),53.85%(14/26)
