EXPERIMENT,MR,FP,MS
assertions_seed11,MR24,2.74%(2/73),nan%(0/0)
assertions_seed11,MR25,0.00%(0/73),26.02%(32/123)
assertions_seed11,MR26,0.00%(0/73),25.20%(31/123)
assertions_seed11,MR27,43.84%(32/73),nan%(0/0)
assertions_seed12,MR24,0.00%(0/73),23.58%(29/123)
assertions_seed12,MR25,0.00%(0/73),35.77%(44/123)
assertions_seed12,MR26,10.96%(8/73),nan%(0/0)
assertions_seed12,MR27,58.90%(43/73),nan%(0/0)
assertions_seed13,MR24,0.00%(0/73),32.52%(40/123)
assertions_seed13,MR25,1.37%(1/73),nan%(0/0)
assertions_seed13,MR26,0.00%(0/73),37.40%(46/123)
assertions_seed13,MR27,58.90%(43/73),nan%(0/0)
assertions_seed21,MR24,6.85%(5/73),nan%(0/0)
assertions_seed21,MR25,21.92%(16/73),nan%(0/0)
assertions_seed21,MR26,0.00%(0/73),32.52%(40/123)
assertions_seed21,MR27,0.00%(0/73),8.94%(11/123)
assertions_seed22,MR24,1.37%(1/73),nan%(0/0)
assertions_seed22,MR25,2.74%(2/73),nan%(0/0)
assertions_seed22,MR26,23.29%(17/73),nan%(0/0)
assertions_seed22,MR27,91.78%(67/73),nan%(0/0)
assertions_seed23,MR24,0.00%(0/73),30.08%(37/123)
assertions_seed23,MR25,0.00%(0/73),38.21%(47/123)
assertions_seed23,MR26,35.62%(26/73),nan%(0/0)
assertions_seed23,MR27,91.78%(67/73),nan%(0/0)
assertions_seed31,MR24,13.70%(10/73),nan%(0/0)
assertions_seed31,MR25,0.00%(0/73),30.89%(38/123)
assertions_seed31,MR26,0.00%(0/73),30.89%(38/123)
assertions_seed31,MR27,2.74%(2/73),nan%(0/0)
assertions_seed32,MR24,0.00%(0/73),23.58%(29/123)
assertions_seed32,MR25,0.00%(0/73),25.20%(31/123)
assertions_seed32,MR26,31.51%(23/73),nan%(0/0)
assertions_seed32,MR27,0.00%(0/73),21.95%(27/123)
assertions_seed33,MR24,0.00%(0/73),40.65%(50/123)
assertions_seed33,MR25,0.00%(0/73),26.83%(33/123)
assertions_seed33,MR26,1.37%(1/73),nan%(0/0)
assertions_seed33,MR27,2.74%(2/73),nan%(0/0)
assertions_seed41,MR24,0.00%(0/73),31.71%(39/123)
assertions_seed41,MR25,0.00%(0/73),22.76%(28/123)
assertions_seed41,MR26,1.37%(1/73),nan%(0/0)
assertions_seed41,MR27,90.41%(66/73),nan%(0/0)
assertions_seed42,MR24,0.00%(0/73),25.20%(31/123)
assertions_seed42,MR25,10.96%(8/73),nan%(0/0)
assertions_seed42,MR26,46.58%(34/73),nan%(0/0)
assertions_seed42,MR27,23.29%(17/73),nan%(0/0)
assertions_seed43,MR24,10.96%(8/73),nan%(0/0)
assertions_seed43,MR25,0.00%(0/73),26.02%(32/123)
assertions_seed43,MR26,43.84%(32/73),nan%(0/0)
assertions_seed43,MR27,1.37%(1/73),nan%(0/0)
