EXPERIMENT,MR,FP,MS
assertions_seed11,MR10,0.00%(0/15),26.09%(12/46)
assertions_seed11,MR11,0.00%(0/8),26.09%(12/46)
assertions_seed11,MR8,0.00%(0/13),34.78%(16/46)
assertions_seed11,MR9,14.29%(1/7),nan%(0/0)
assertions_seed12,MR10,0.00%(0/1),19.57%(9/46)
assertions_seed12,MR11,0.00%(0/8),19.57%(9/46)
assertions_seed12,MR8,0.00%(0/21),34.78%(16/46)
assertions_seed12,MR9,0.00%(0/13),21.74%(10/46)
assertions_seed13,MR10,0.00%(0/8),19.57%(9/46)
assertions_seed13,MR11,0.00%(0/8),26.09%(12/46)
assertions_seed13,MR8,0.00%(0/13),26.09%(12/46)
assertions_seed13,MR9,0.00%(0/16),23.91%(11/46)
assertions_seed21,MR10,6.67%(1/15),nan%(0/0)
assertions_seed21,MR11,0.00%(0/8),19.57%(9/46)
assertions_seed21,MR8,7.69%(1/13),nan%(0/0)
assertions_seed21,MR9,14.29%(1/7),nan%(0/0)
assertions_seed22,MR10,0.00%(0/1),19.57%(9/46)
assertions_seed22,MR11,0.00%(0/16),23.91%(11/46)
assertions_seed22,MR8,0.00%(0/21),34.78%(16/46)
assertions_seed22,MR9,nan%(0/0),0.00%(0/46)
assertions_seed23,MR10,0.00%(0/8),19.57%(9/46)
assertions_seed23,MR11,0.00%(0/14),28.26%(13/46)
assertions_seed23,MR8,0.00%(0/13),23.91%(11/46)
assertions_seed23,MR9,4.76%(1/21),nan%(0/0)
assertions_seed31,MR10,0.00%(0/15),26.09%(12/46)
assertions_seed31,MR11,0.00%(0/8),26.09%(12/46)
assertions_seed31,MR8,0.00%(0/16),23.91%(11/46)
assertions_seed31,MR9,0.00%(0/16),23.91%(11/46)
assertions_seed32,MR10,0.00%(0/13),26.09%(12/46)
assertions_seed32,MR11,0.00%(0/14),21.74%(10/46)
assertions_seed32,MR8,0.00%(0/13),23.91%(11/46)
assertions_seed32,MR9,0.00%(0/21),36.96%(17/46)
assertions_seed33,MR10,0.00%(0/7),23.91%(11/46)
assertions_seed33,MR11,0.00%(0/15),26.09%(12/46)
assertions_seed33,MR8,0.00%(0/21),34.78%(16/46)
assertions_seed33,MR9,0.00%(0/13),28.26%(13/46)
assertions_seed41,MR10,0.00%(0/16),23.91%(11/46)
assertions_seed41,MR11,0.00%(0/15),26.09%(12/46)
assertions_seed41,MR8,0.00%(0/21),36.96%(17/46)
assertions_seed41,MR9,0.00%(0/13),21.74%(10/46)
assertions_seed42,MR10,0.00%(0/15),26.09%(12/46)
assertions_seed42,MR11,0.00%(0/8),26.09%(12/46)
assertions_seed42,MR8,nan%(0/0),0.00%(0/46)
assertions_seed42,MR9,0.00%(0/1),19.57%(9/46)
assertions_seed43,MR10,0.00%(0/7),21.74%(10/46)
assertions_seed43,MR11,nan%(0/0),0.00%(0/46)
assertions_seed43,MR8,0.00%(0/13),23.91%(11/46)
assertions_seed43,MR9,7.69%(1/13),nan%(0/0)
