EXPERIMENT,MR,FP,MS
assertions_seed11,MR28,0.00%(0/93),35.14%(13/37)
assertions_seed11,MR29,0.00%(0/93),35.14%(13/37)
assertions_seed11,MR30,0.00%(0/93),43.24%(16/37)
assertions_seed11,MR31,39.78%(37/93),nan%(0/0)
assertions_seed12,MR28,7.53%(7/93),nan%(0/0)
assertions_seed12,MR29,0.00%(0/93),35.14%(13/37)
assertions_seed12,MR30,0.00%(0/93),27.03%(10/37)
assertions_seed12,MR31,0.00%(0/93),35.14%(13/37)
assertions_seed13,MR28,0.00%(0/93),35.14%(13/37)
assertions_seed13,MR29,0.00%(0/93),40.54%(15/37)
assertions_seed13,MR30,0.00%(0/93),32.43%(12/37)
assertions_seed13,MR31,0.00%(0/93),32.43%(12/37)
assertions_seed21,MR28,2.15%(2/93),nan%(0/0)
assertions_seed21,MR29,0.00%(0/93),35.14%(13/37)
assertions_seed21,MR30,0.00%(0/93),32.43%(12/37)
assertions_seed21,MR31,0.00%(0/93),32.43%(12/37)
assertions_seed22,MR28,18.28%(17/93),nan%(0/0)
assertions_seed22,MR29,0.00%(0/93),29.73%(11/37)
assertions_seed22,MR30,4.30%(4/93),nan%(0/0)
assertions_seed22,MR31,0.00%(0/93),32.43%(12/37)
assertions_seed23,MR28,0.00%(0/93),35.14%(13/37)
assertions_seed23,MR29,3.23%(3/93),nan%(0/0)
assertions_seed23,MR30,0.00%(0/93),35.14%(13/37)
assertions_seed23,MR31,0.00%(0/93),37.84%(14/37)
assertions_seed31,MR28,0.00%(0/93),45.95%(17/37)
assertions_seed31,MR29,0.00%(0/93),37.84%(14/37)
assertions_seed31,MR30,0.00%(0/93),32.43%(12/37)
assertions_seed31,MR31,3.23%(3/93),nan%(0/0)
assertions_seed32,MR28,0.00%(0/93),29.73%(11/37)
assertions_seed32,MR29,0.00%(0/93),32.43%(12/37)
assertions_seed32,MR30,0.00%(0/93),35.14%(13/37)
assertions_seed32,MR31,0.00%(0/93),32.43%(12/37)
assertions_seed33,MR28,0.00%(0/93),37.84%(14/37)
assertions_seed33,MR29,0.00%(0/93),51.35%(19/37)
assertions_seed33,MR30,0.00%(0/93),32.43%(12/37)
assertions_seed33,MR31,0.00%(0/93),32.43%(12/37)
assertions_seed41,MR28,0.00%(0/93),32.43%(12/37)
assertions_seed41,MR29,0.00%(0/93),32.43%(12/37)
assertions_seed41,MR30,0.00%(0/93),32.43%(12/37)
assertions_seed41,MR31,0.00%(0/93),35.14%(13/37)
assertions_seed42,MR28,0.00%(0/93),35.14%(13/37)
assertions_seed42,MR29,0.00%(0/93),35.14%(13/37)
assertions_seed42,MR30,0.00%(0/93),32.43%(12/37)
assertions_seed42,MR31,0.00%(0/93),32.43%(12/37)
assertions_seed43,MR28,6.45%(6/93),nan%(0/0)
assertions_seed43,MR29,0.00%(0/93),32.43%(12/37)
assertions_seed43,MR30,0.00%(0/93),32.43%(12/37)
assertions_seed43,MR31,0.00%(0/93),32.43%(12/37)
