set,mr,block,mutation_id,mutation_category,detected,baseline_violations,mutated_violations,error
N,rho_rot,G,cat_v_01,v,False,0,0,
N,rho_mono,O_le,cat_v_01,v,False,0,0,
N,rho_train,L*,cat_v_01,v,False,0,0,
N,rho_adj,T*,cat_v_01,v,False,0,0,
N,rho_train_rev,T_rev*,cat_v_01,v,True,0,2,
L,L_rot,G,cat_v_01,v,False,0,0,
L,L_perturb,(out),cat_v_01,v,False,0,0,
L,L_prob_valid,(out),cat_v_01,v,False,0,0,
L,L_scale,(out),cat_v_01,v,False,8,8,
L,L_determ,L*,cat_v_01,v,False,0,0,
B,B_attr_perm,(out),cat_v_01,v,False,0,0,
B,B_mult,(out),cat_v_01,v,False,8,8,
B,B_add,(out),cat_v_01,v,False,0,0,
B,B_subset,(out),cat_v_01,v,False,0,0,
B,B_idempot,L*,cat_v_01,v,False,0,0,
N,rho_rot,G,cat_v_02,v,False,0,0,
N,rho_mono,O_le,cat_v_02,v,False,0,0,
N,rho_train,L*,cat_v_02,v,False,0,0,
N,rho_adj,T*,cat_v_02,v,False,0,0,
N,rho_train_rev,T_rev*,cat_v_02,v,False,0,0,
L,L_rot,G,cat_v_02,v,False,0,0,
L,L_perturb,(out),cat_v_02,v,False,0,0,
L,L_prob_valid,(out),cat_v_02,v,False,0,0,
L,L_scale,(out),cat_v_02,v,False,8,8,
L,L_determ,L*,cat_v_02,v,False,0,0,
B,B_attr_perm,(out),cat_v_02,v,False,0,0,
B,B_mult,(out),cat_v_02,v,False,8,8,
B,B_add,(out),cat_v_02,v,False,0,0,
B,B_subset,(out),cat_v_02,v,False,0,0,
B,B_idempot,L*,cat_v_02,v,False,0,0,
N,rho_rot,G,cat_v_03,v,False,0,0,
N,rho_mono,O_le,cat_v_03,v,False,0,0,
N,rho_train,L*,cat_v_03,v,False,0,0,
N,rho_adj,T*,cat_v_03,v,False,0,0,
N,rho_train_rev,T_rev*,cat_v_03,v,True,0,8,
L,L_rot,G,cat_v_03,v,False,0,0,
L,L_perturb,(out),cat_v_03,v,False,0,0,
L,L_prob_valid,(out),cat_v_03,v,False,0,0,
L,L_scale,(out),cat_v_03,v,False,8,8,
L,L_determ,L*,cat_v_03,v,False,0,0,
B,B_attr_perm,(out),cat_v_03,v,False,0,0,
B,B_mult,(out),cat_v_03,v,False,8,8,
B,B_add,(out),cat_v_03,v,False,0,0,
B,B_subset,(out),cat_v_03,v,False,0,0,
B,B_idempot,L*,cat_v_03,v,False,0,0,
N,rho_rot,G,cat_v_04,v,False,0,0,
N,rho_mono,O_le,cat_v_04,v,False,0,0,
N,rho_train,L*,cat_v_04,v,False,0,0,
N,rho_adj,T*,cat_v_04,v,False,0,0,
N,rho_train_rev,T_rev*,cat_v_04,v,False,0,0,
L,L_rot,G,cat_v_04,v,False,0,0,
L,L_perturb,(out),cat_v_04,v,False,0,0,
L,L_prob_valid,(out),cat_v_04,v,False,0,0,
L,L_scale,(out),cat_v_04,v,False,8,8,
L,L_determ,L*,cat_v_04,v,False,0,0,
B,B_attr_perm,(out),cat_v_04,v,False,0,0,
B,B_mult,(out),cat_v_04,v,False,8,8,
B,B_add,(out),cat_v_04,v,False,0,0,
B,B_subset,(out),cat_v_04,v,False,0,0,
B,B_idempot,L*,cat_v_04,v,False,0,0,
N,rho_rot,G,cat_v_05,v,False,0,0,
N,rho_mono,O_le,cat_v_05,v,False,0,0,
N,rho_train,L*,cat_v_05,v,False,0,0,
N,rho_adj,T*,cat_v_05,v,False,0,0,
N,rho_train_rev,T_rev*,cat_v_05,v,False,0,0,
L,L_rot,G,cat_v_05,v,False,0,0,
L,L_perturb,(out),cat_v_05,v,False,0,0,
L,L_prob_valid,(out),cat_v_05,v,False,0,0,
L,L_scale,(out),cat_v_05,v,False,8,8,
L,L_determ,L*,cat_v_05,v,False,0,0,
B,B_attr_perm,(out),cat_v_05,v,False,0,0,
B,B_mult,(out),cat_v_05,v,False,8,8,
B,B_add,(out),cat_v_05,v,False,0,0,
B,B_subset,(out),cat_v_05,v,False,0,0,
B,B_idempot,L*,cat_v_05,v,False,0,0,
