set,mr,block,mutation_id,mutation_category,detected,baseline_violations,mutated_violations,error
N,rho_rot,G,cat_i_01,i,False,0,0,
N,rho_mono,O_le,cat_i_01,i,False,0,0,
N,rho_train,L*,cat_i_01,i,False,0,0,
N,rho_adj,T*,cat_i_01,i,False,0,0,
N,rho_train_rev,T_rev*,cat_i_01,i,False,0,0,
L,L_rot,G,cat_i_01,i,False,0,0,
L,L_perturb,(out),cat_i_01,i,False,0,0,
L,L_prob_valid,(out),cat_i_01,i,False,0,0,
L,L_scale,(out),cat_i_01,i,False,8,8,
L,L_determ,L*,cat_i_01,i,False,0,0,
B,B_attr_perm,(out),cat_i_01,i,False,0,0,
B,B_mult,(out),cat_i_01,i,False,8,8,
B,B_add,(out),cat_i_01,i,False,0,0,
B,B_subset,(out),cat_i_01,i,False,0,0,
B,B_idempot,L*,cat_i_01,i,False,0,0,
N,rho_rot,G,cat_i_02,i,False,0,0,
N,rho_mono,O_le,cat_i_02,i,False,0,0,
N,rho_train,L*,cat_i_02,i,False,0,0,
N,rho_adj,T*,cat_i_02,i,False,0,0,
N,rho_train_rev,T_rev*,cat_i_02,i,False,0,0,
L,L_rot,G,cat_i_02,i,False,0,0,
L,L_perturb,(out),cat_i_02,i,False,0,0,
L,L_prob_valid,(out),cat_i_02,i,False,0,0,
L,L_scale,(out),cat_i_02,i,False,8,8,
L,L_determ,L*,cat_i_02,i,False,0,0,
B,B_attr_perm,(out),cat_i_02,i,False,0,0,
B,B_mult,(out),cat_i_02,i,False,8,8,
B,B_add,(out),cat_i_02,i,False,0,0,
B,B_subset,(out),cat_i_02,i,False,0,0,
B,B_idempot,L*,cat_i_02,i,False,0,0,
N,rho_rot,G,cat_i_03,i,False,0,0,
N,rho_mono,O_le,cat_i_03,i,False,0,0,
N,rho_train,L*,cat_i_03,i,False,0,0,
N,rho_adj,T*,cat_i_03,i,False,0,0,
N,rho_train_rev,T_rev*,cat_i_03,i,False,0,0,
L,L_rot,G,cat_i_03,i,False,0,0,
L,L_perturb,(out),cat_i_03,i,False,0,0,
L,L_prob_valid,(out),cat_i_03,i,False,0,0,
L,L_scale,(out),cat_i_03,i,False,8,8,
L,L_determ,L*,cat_i_03,i,False,0,0,
B,B_attr_perm,(out),cat_i_03,i,False,0,0,
B,B_mult,(out),cat_i_03,i,False,8,8,
B,B_add,(out),cat_i_03,i,False,0,0,
B,B_subset,(out),cat_i_03,i,False,0,0,
B,B_idempot,L*,cat_i_03,i,False,0,0,
N,rho_rot,G,cat_i_04,i,False,0,0,
N,rho_mono,O_le,cat_i_04,i,False,0,0,
N,rho_train,L*,cat_i_04,i,False,0,0,
N,rho_adj,T*,cat_i_04,i,False,0,0,
N,rho_train_rev,T_rev*,cat_i_04,i,False,0,0,
L,L_rot,G,cat_i_04,i,False,0,0,
L,L_perturb,(out),cat_i_04,i,False,0,0,
L,L_prob_valid,(out),cat_i_04,i,False,0,0,
L,L_scale,(out),cat_i_04,i,False,8,8,
L,L_determ,L*,cat_i_04,i,False,0,0,
B,B_attr_perm,(out),cat_i_04,i,False,0,0,
B,B_mult,(out),cat_i_04,i,False,8,8,
B,B_add,(out),cat_i_04,i,False,0,0,
B,B_subset,(out),cat_i_04,i,False,0,0,
B,B_idempot,L*,cat_i_04,i,False,0,0,
N,rho_rot,G,cat_i_05,i,False,0,0,
N,rho_mono,O_le,cat_i_05,i,False,0,0,
N,rho_train,L*,cat_i_05,i,False,0,0,
N,rho_adj,T*,cat_i_05,i,False,0,0,
N,rho_train_rev,T_rev*,cat_i_05,i,False,0,0,
L,L_rot,G,cat_i_05,i,False,0,0,
L,L_perturb,(out),cat_i_05,i,False,0,0,
L,L_prob_valid,(out),cat_i_05,i,False,0,0,
L,L_scale,(out),cat_i_05,i,False,8,8,
L,L_determ,L*,cat_i_05,i,False,0,0,
B,B_attr_perm,(out),cat_i_05,i,False,0,0,
B,B_mult,(out),cat_i_05,i,False,8,8,
B,B_add,(out),cat_i_05,i,False,0,0,
B,B_subset,(out),cat_i_05,i,False,0,0,
B,B_idempot,L*,cat_i_05,i,False,0,0,
N,rho_rot,G,cat_ii_01,ii,False,0,0,
N,rho_mono,O_le,cat_ii_01,ii,False,0,0,
N,rho_train,L*,cat_ii_01,ii,False,0,0,
N,rho_adj,T*,cat_ii_01,ii,False,0,0,
N,rho_train_rev,T_rev*,cat_ii_01,ii,False,0,0,
L,L_rot,G,cat_ii_01,ii,False,0,0,
L,L_perturb,(out),cat_ii_01,ii,False,0,0,
L,L_prob_valid,(out),cat_ii_01,ii,False,0,0,
L,L_scale,(out),cat_ii_01,ii,False,8,8,
L,L_determ,L*,cat_ii_01,ii,False,0,0,
B,B_attr_perm,(out),cat_ii_01,ii,False,0,0,
B,B_mult,(out),cat_ii_01,ii,False,8,8,
B,B_add,(out),cat_ii_01,ii,False,0,0,
B,B_subset,(out),cat_ii_01,ii,False,0,0,
B,B_idempot,L*,cat_ii_01,ii,False,0,0,
N,rho_rot,G,cat_ii_02,ii,True,0,8,
N,rho_mono,O_le,cat_ii_02,ii,False,0,0,
N,rho_train,L*,cat_ii_02,ii,False,0,0,
N,rho_adj,T*,cat_ii_02,ii,False,0,0,
N,rho_train_rev,T_rev*,cat_ii_02,ii,False,0,0,
L,L_rot,G,cat_ii_02,ii,True,0,8,
L,L_perturb,(out),cat_ii_02,ii,False,0,0,
L,L_prob_valid,(out),cat_ii_02,ii,True,0,7,
L,L_scale,(out),cat_ii_02,ii,False,8,8,
L,L_determ,L*,cat_ii_02,ii,False,0,0,
B,B_attr_perm,(out),cat_ii_02,ii,False,0,0,
B,B_mult,(out),cat_ii_02,ii,False,8,8,
B,B_add,(out),cat_ii_02,ii,False,0,0,
B,B_subset,(out),cat_ii_02,ii,False,0,0,
B,B_idempot,L*,cat_ii_02,ii,False,0,0,
N,rho_rot,G,cat_ii_03,ii,True,0,8,
N,rho_mono,O_le,cat_ii_03,ii,False,0,0,
N,rho_train,L*,cat_ii_03,ii,False,0,0,
N,rho_adj,T*,cat_ii_03,ii,False,0,0,
N,rho_train_rev,T_rev*,cat_ii_03,ii,False,0,0,
L,L_rot,G,cat_ii_03,ii,True,0,8,
L,L_perturb,(out),cat_ii_03,ii,False,0,0,
L,L_prob_valid,(out),cat_ii_03,ii,False,0,0,
L,L_scale,(out),cat_ii_03,ii,False,8,8,
L,L_determ,L*,cat_ii_03,ii,False,0,0,
B,B_attr_perm,(out),cat_ii_03,ii,False,0,0,
B,B_mult,(out),cat_ii_03,ii,False,8,8,
B,B_add,(out),cat_ii_03,ii,False,0,0,
B,B_subset,(out),cat_ii_03,ii,False,0,0,
B,B_idempot,L*,cat_ii_03,ii,False,0,0,
N,rho_rot,G,cat_ii_04,ii,False,0,0,
N,rho_mono,O_le,cat_ii_04,ii,False,0,0,
N,rho_train,L*,cat_ii_04,ii,False,0,0,
N,rho_adj,T*,cat_ii_04,ii,False,0,0,
N,rho_train_rev,T_rev*,cat_ii_04,ii,False,0,0,
L,L_rot,G,cat_ii_04,ii,False,0,0,
L,L_perturb,(out),cat_ii_04,ii,False,0,0,
L,L_prob_valid,(out),cat_ii_04,ii,False,0,0,
L,L_scale,(out),cat_ii_04,ii,False,8,8,
L,L_determ,L*,cat_ii_04,ii,False,0,0,
B,B_attr_perm,(out),cat_ii_04,ii,False,0,0,
B,B_mult,(out),cat_ii_04,ii,False,8,8,
B,B_add,(out),cat_ii_04,ii,False,0,0,
B,B_subset,(out),cat_ii_04,ii,False,0,0,
B,B_idempot,L*,cat_ii_04,ii,False,0,0,
N,rho_rot,G,cat_ii_05,ii,False,0,0,
N,rho_mono,O_le,cat_ii_05,ii,False,0,0,
N,rho_train,L*,cat_ii_05,ii,False,0,0,
N,rho_adj,T*,cat_ii_05,ii,False,0,0,
N,rho_train_rev,T_rev*,cat_ii_05,ii,False,0,0,
L,L_rot,G,cat_ii_05,ii,False,0,0,
L,L_perturb,(out),cat_ii_05,ii,False,0,0,
L,L_prob_valid,(out),cat_ii_05,ii,False,0,0,
L,L_scale,(out),cat_ii_05,ii,False,8,8,
L,L_determ,L*,cat_ii_05,ii,False,0,0,
B,B_attr_perm,(out),cat_ii_05,ii,False,0,0,
B,B_mult,(out),cat_ii_05,ii,False,8,8,
B,B_add,(out),cat_ii_05,ii,False,0,0,
B,B_subset,(out),cat_ii_05,ii,False,0,0,
B,B_idempot,L*,cat_ii_05,ii,False,0,0,
N,rho_rot,G,cat_iii_01,iii,False,0,0,
N,rho_mono,O_le,cat_iii_01,iii,False,0,0,
N,rho_train,L*,cat_iii_01,iii,False,0,0,
N,rho_adj,T*,cat_iii_01,iii,False,0,0,
N,rho_train_rev,T_rev*,cat_iii_01,iii,False,0,0,
L,L_rot,G,cat_iii_01,iii,False,0,0,
L,L_perturb,(out),cat_iii_01,iii,False,0,0,
L,L_prob_valid,(out),cat_iii_01,iii,False,0,0,
L,L_scale,(out),cat_iii_01,iii,False,8,8,
L,L_determ,L*,cat_iii_01,iii,False,0,0,
B,B_attr_perm,(out),cat_iii_01,iii,False,0,0,
B,B_mult,(out),cat_iii_01,iii,False,8,8,
B,B_add,(out),cat_iii_01,iii,False,0,0,
B,B_subset,(out),cat_iii_01,iii,False,0,0,
B,B_idempot,L*,cat_iii_01,iii,False,0,0,
N,rho_rot,G,cat_iii_02,iii,False,0,0,
N,rho_mono,O_le,cat_iii_02,iii,False,0,0,
N,rho_train,L*,cat_iii_02,iii,False,0,0,
N,rho_adj,T*,cat_iii_02,iii,False,0,0,
N,rho_train_rev,T_rev*,cat_iii_02,iii,False,0,0,
L,L_rot,G,cat_iii_02,iii,False,0,0,
L,L_perturb,(out),cat_iii_02,iii,False,0,0,
L,L_prob_valid,(out),cat_iii_02,iii,False,0,0,
L,L_scale,(out),cat_iii_02,iii,False,8,8,
L,L_determ,L*,cat_iii_02,iii,False,0,0,
B,B_attr_perm,(out),cat_iii_02,iii,False,0,0,
B,B_mult,(out),cat_iii_02,iii,False,8,8,
B,B_add,(out),cat_iii_02,iii,False,0,0,
B,B_subset,(out),cat_iii_02,iii,False,0,0,
B,B_idempot,L*,cat_iii_02,iii,False,0,0,
N,rho_rot,G,cat_iii_03,iii,False,0,0,
N,rho_mono,O_le,cat_iii_03,iii,False,0,0,
N,rho_train,L*,cat_iii_03,iii,False,0,0,
N,rho_adj,T*,cat_iii_03,iii,False,0,0,
N,rho_train_rev,T_rev*,cat_iii_03,iii,False,0,0,
L,L_rot,G,cat_iii_03,iii,False,0,0,
L,L_perturb,(out),cat_iii_03,iii,False,0,0,
L,L_prob_valid,(out),cat_iii_03,iii,False,0,0,
L,L_scale,(out),cat_iii_03,iii,False,8,8,
L,L_determ,L*,cat_iii_03,iii,False,0,0,
B,B_attr_perm,(out),cat_iii_03,iii,False,0,0,
B,B_mult,(out),cat_iii_03,iii,False,8,8,
B,B_add,(out),cat_iii_03,iii,False,0,0,
B,B_subset,(out),cat_iii_03,iii,False,0,0,
B,B_idempot,L*,cat_iii_03,iii,False,0,0,
N,rho_rot,G,cat_iii_04,iii,False,0,0,
N,rho_mono,O_le,cat_iii_04,iii,False,0,0,
N,rho_train,L*,cat_iii_04,iii,False,0,0,
N,rho_adj,T*,cat_iii_04,iii,False,0,0,
N,rho_train_rev,T_rev*,cat_iii_04,iii,False,0,0,
L,L_rot,G,cat_iii_04,iii,False,0,0,
L,L_perturb,(out),cat_iii_04,iii,False,0,0,
L,L_prob_valid,(out),cat_iii_04,iii,False,0,0,
L,L_scale,(out),cat_iii_04,iii,False,8,8,
L,L_determ,L*,cat_iii_04,iii,False,0,0,
B,B_attr_perm,(out),cat_iii_04,iii,False,0,0,
B,B_mult,(out),cat_iii_04,iii,False,8,8,
B,B_add,(out),cat_iii_04,iii,False,0,0,
B,B_subset,(out),cat_iii_04,iii,False,0,0,
B,B_idempot,L*,cat_iii_04,iii,False,0,0,
N,rho_rot,G,cat_iii_05,iii,False,0,0,
N,rho_mono,O_le,cat_iii_05,iii,False,0,0,
N,rho_train,L*,cat_iii_05,iii,False,0,0,
N,rho_adj,T*,cat_iii_05,iii,False,0,0,
N,rho_train_rev,T_rev*,cat_iii_05,iii,False,0,0,
L,L_rot,G,cat_iii_05,iii,False,0,0,
L,L_perturb,(out),cat_iii_05,iii,False,0,0,
L,L_prob_valid,(out),cat_iii_05,iii,False,0,0,
L,L_scale,(out),cat_iii_05,iii,False,8,8,
L,L_determ,L*,cat_iii_05,iii,False,0,0,
B,B_attr_perm,(out),cat_iii_05,iii,False,0,0,
B,B_mult,(out),cat_iii_05,iii,False,8,8,
B,B_add,(out),cat_iii_05,iii,False,0,0,
B,B_subset,(out),cat_iii_05,iii,False,0,0,
B,B_idempot,L*,cat_iii_05,iii,False,0,0,
N,rho_rot,G,cat_iv_01,iv,False,0,0,
N,rho_mono,O_le,cat_iv_01,iv,False,0,0,
N,rho_train,L*,cat_iv_01,iv,False,0,0,
N,rho_adj,T*,cat_iv_01,iv,False,0,0,
N,rho_train_rev,T_rev*,cat_iv_01,iv,True,0,8,
L,L_rot,G,cat_iv_01,iv,False,0,0,
L,L_perturb,(out),cat_iv_01,iv,False,0,0,
L,L_prob_valid,(out),cat_iv_01,iv,False,0,0,
L,L_scale,(out),cat_iv_01,iv,False,8,8,
L,L_determ,L*,cat_iv_01,iv,False,0,0,
B,B_attr_perm,(out),cat_iv_01,iv,False,0,0,
B,B_mult,(out),cat_iv_01,iv,False,8,8,
B,B_add,(out),cat_iv_01,iv,False,0,0,
B,B_subset,(out),cat_iv_01,iv,False,0,0,
B,B_idempot,L*,cat_iv_01,iv,False,0,0,
N,rho_rot,G,cat_iv_02,iv,False,0,0,
N,rho_mono,O_le,cat_iv_02,iv,False,0,0,
N,rho_train,L*,cat_iv_02,iv,False,0,0,
N,rho_adj,T*,cat_iv_02,iv,False,0,0,
