mutation_id,mutation_class,subject,pit_status,set_n_detected,set_g_detected,set_b_detected,seed,timestamp,mr_testGenMorphMR0,mr_testGenMorphMR1,mr_testGenMorphMR2,mr_testGenMorphMR3,mr_testRhoEqRef,mr_testRhoMono,mr_testRhoPerm,mr_testRhoScale
M001,ConditionalsBoundaryMutator,gcd,KILLED,0,1,0,11,2026-05-06T11:22:59+00:00,0,0,1,0,0,0,0,0
M002,ConditionalsBoundaryMutator,gcd,KILLED,0,1,0,11,2026-05-06T11:22:59+00:00,0,0,1,0,0,0,0,0
M003,ConditionalsBoundaryMutator,gcd,NO_COVERAGE,0,0,0,11,2026-05-06T11:22:59+00:00,0,0,0,0,0,0,0,0
M004,InvertNegsMutator,gcd,TIMED_OUT,1,1,1,11,2026-05-06T11:22:59+00:00,1,1,1,1,1,1,1,1
M005,InvertNegsMutator,gcd,KILLED,0,1,0,11,2026-05-06T11:22:59+00:00,0,0,1,0,0,0,0,0
M006,InvertNegsMutator,gcd,TIMED_OUT,1,1,1,11,2026-05-06T11:22:59+00:00,1,1,1,1,1,1,1,1
M007,InvertNegsMutator,gcd,KILLED,0,1,0,11,2026-05-06T11:22:59+00:00,0,0,1,0,0,0,0,0
M008,MathMutator,gcd,KILLED,0,1,0,11,2026-05-06T11:22:59+00:00,0,0,1,0,0,0,0,0
M009,MathMutator,gcd,NO_COVERAGE,0,0,0,11,2026-05-06T11:22:59+00:00,0,0,0,0,0,0,0,0
M010,MathMutator,gcd,NO_COVERAGE,0,0,0,11,2026-05-06T11:22:59+00:00,0,0,0,0,0,0,0,0
M011,RemoveConditionalMutator_EQUAL_ELSE,gcd,KILLED,1,0,0,11,2026-05-06T11:22:59+00:00,0,0,0,0,0,1,0,0
M012,RemoveConditionalMutator_EQUAL_ELSE,gcd,KILLED,0,1,0,11,2026-05-06T11:22:59+00:00,0,0,1,0,0,0,0,0
M013,RemoveConditionalMutator_EQUAL_ELSE,gcd,KILLED,0,1,0,11,2026-05-06T11:22:59+00:00,0,0,1,0,0,0,0,0
M014,RemoveConditionalMutator_EQUAL_ELSE,gcd,KILLED,0,1,0,11,2026-05-06T11:22:59+00:00,0,0,1,0,0,0,0,0
M015,RemoveConditionalMutator_EQUAL_ELSE,gcd,KILLED,0,1,0,11,2026-05-06T11:22:59+00:00,0,0,1,0,0,0,0,0
M016,RemoveConditionalMutator_EQUAL_ELSE,gcd,KILLED,0,1,0,11,2026-05-06T11:22:59+00:00,0,0,1,0,0,0,0,0
M017,RemoveConditionalMutator_EQUAL_ELSE,gcd,KILLED,0,1,0,11,2026-05-06T11:22:59+00:00,0,0,1,0,0,0,0,0
M018,RemoveConditionalMutator_EQUAL_ELSE,gcd,NO_COVERAGE,0,0,0,11,2026-05-06T11:22:59+00:00,0,0,0,0,0,0,0,0
M019,RemoveConditionalMutator_EQUAL_ELSE,gcd,NO_COVERAGE,0,0,0,11,2026-05-06T11:22:59+00:00,0,0,0,0,0,0,0,0
M020,RemoveConditionalMutator_ORDER_ELSE,gcd,TIMED_OUT,1,1,1,11,2026-05-06T11:22:59+00:00,1,1,1,1,1,1,1,1
M021,RemoveConditionalMutator_ORDER_ELSE,gcd,TIMED_OUT,1,1,1,11,2026-05-06T11:22:59+00:00,1,1,1,1,1,1,1,1
M022,RemoveConditionalMutator_ORDER_ELSE,gcd,NO_COVERAGE,0,0,0,11,2026-05-06T11:22:59+00:00,0,0,0,0,0,0,0,0
M023,PrimitiveReturnsMutator,gcd,KILLED,0,1,0,11,2026-05-06T11:22:59+00:00,0,0,1,0,0,0,0,0
M024,PrimitiveReturnsMutator,gcd,NO_COVERAGE,0,0,0,11,2026-05-06T11:22:59+00:00,0,0,0,0,0,0,0,0
M025,PrimitiveReturnsMutator,gcd,KILLED,0,1,0,11,2026-05-06T11:22:59+00:00,0,0,1,0,0,0,0,0
