mutation_id,mutation_class,subject,pit_status,set_n_detected,set_g_detected,set_b_detected,seed,timestamp,mr_testGenMorphMR20,mr_testGenMorphMR21,mr_testGenMorphMR22,mr_testGenMorphMR23,mr_testRhoBound,mr_testRhoComplement,mr_testRhoOddSym,mr_testRhoPeriod
M001,ConditionalsBoundaryMutator,sin,SURVIVED,0,0,0,11,2026-05-06T11:20:15+00:00,0,0,0,0,0,0,0,0
M002,ConditionalsBoundaryMutator,sin,SURVIVED,0,0,0,11,2026-05-06T11:20:15+00:00,0,0,0,0,0,0,0,0
M003,ConditionalsBoundaryMutator,sin,SURVIVED,0,0,0,11,2026-05-06T11:20:15+00:00,0,0,0,0,0,0,0,0
M004,ConditionalsBoundaryMutator,sin,SURVIVED,0,0,0,11,2026-05-06T11:20:15+00:00,0,0,0,0,0,0,0,0
M005,InvertNegsMutator,sin,KILLED,1,0,0,11,2026-05-06T11:20:15+00:00,0,0,0,0,0,1,0,0
M006,InvertNegsMutator,sin,KILLED,1,0,0,11,2026-05-06T11:20:15+00:00,0,0,0,0,0,0,1,0
M007,InvertNegsMutator,sin,KILLED,1,0,0,11,2026-05-06T11:20:15+00:00,0,0,0,0,0,0,1,0
M008,MathMutator,sin,NO_COVERAGE,0,0,0,11,2026-05-06T11:20:15+00:00,0,0,0,0,0,0,0,0
M009,MathMutator,sin,KILLED,1,0,0,11,2026-05-06T11:20:15+00:00,0,0,0,0,0,1,0,0
M010,MathMutator,sin,KILLED,1,0,0,11,2026-05-06T11:20:15+00:00,0,0,0,0,0,1,0,0
M011,RemoveConditionalMutator_EQUAL_ELSE,sin,SURVIVED,0,0,0,11,2026-05-06T11:20:15+00:00,0,0,0,0,0,0,0,0
M012,RemoveConditionalMutator_EQUAL_ELSE,sin,KILLED,1,0,0,11,2026-05-06T11:20:15+00:00,0,0,0,0,0,1,0,0
M013,RemoveConditionalMutator_EQUAL_ELSE,sin,SURVIVED,0,0,0,11,2026-05-06T11:20:15+00:00,0,0,0,0,0,0,0,0
M014,RemoveConditionalMutator_EQUAL_ELSE,sin,KILLED,1,0,0,11,2026-05-06T11:20:15+00:00,0,0,0,0,0,1,0,0
M015,RemoveConditionalMutator_ORDER_ELSE,sin,KILLED,1,0,0,11,2026-05-06T11:20:15+00:00,0,0,0,0,0,1,0,0
M016,RemoveConditionalMutator_ORDER_ELSE,sin,SURVIVED,0,0,0,11,2026-05-06T11:20:15+00:00,0,0,0,0,0,0,0,0
M017,RemoveConditionalMutator_ORDER_ELSE,sin,SURVIVED,0,0,0,11,2026-05-06T11:20:15+00:00,0,0,0,0,0,0,0,0
M018,RemoveConditionalMutator_ORDER_ELSE,sin,KILLED,1,0,0,11,2026-05-06T11:20:15+00:00,0,0,0,0,0,1,0,0
M019,VoidMethodCallMutator,sin,NO_COVERAGE,0,0,0,11,2026-05-06T11:20:15+00:00,0,0,0,0,0,0,0,0
M020,PrimitiveReturnsMutator,sin,SURVIVED,0,0,0,11,2026-05-06T11:20:15+00:00,0,0,0,0,0,0,0,0
M021,PrimitiveReturnsMutator,sin,NO_COVERAGE,0,0,0,11,2026-05-06T11:20:15+00:00,0,0,0,0,0,0,0,0
M022,PrimitiveReturnsMutator,sin,KILLED,1,0,0,11,2026-05-06T11:20:15+00:00,0,0,0,0,0,1,0,0
M023,PrimitiveReturnsMutator,sin,KILLED,1,0,0,11,2026-05-06T11:20:15+00:00,0,0,0,0,0,1,0,0
M024,PrimitiveReturnsMutator,sin,KILLED,0,1,0,11,2026-05-06T11:20:15+00:00,0,0,1,0,0,0,0,0
M025,PrimitiveReturnsMutator,sin,KILLED,0,1,0,11,2026-05-06T11:20:15+00:00,0,0,1,0,0,0,0,0
M026,PrimitiveReturnsMutator,sin,NO_COVERAGE,0,0,0,11,2026-05-06T11:20:15+00:00,0,0,0,0,0,0,0,0
