mutation_id,mutation_class,subject,pit_status,set_n_detected,set_g_detected,set_b_detected,seed,timestamp
M001,ConditionalsBoundaryMutator,MathClass.gcd,KILLED,0,1,0,11,2026-05-06T08:35:23+00:00
M002,ConditionalsBoundaryMutator,MathClass.gcd,KILLED,0,1,0,11,2026-05-06T08:35:23+00:00
M003,ConditionalsBoundaryMutator,MathClass.gcd,NO_COVERAGE,0,0,0,11,2026-05-06T08:35:23+00:00
M004,InvertNegsMutator,MathClass.gcd,TIMED_OUT,1,1,1,11,2026-05-06T08:35:23+00:00
M005,InvertNegsMutator,MathClass.gcd,KILLED,0,1,0,11,2026-05-06T08:35:23+00:00
M006,InvertNegsMutator,MathClass.gcd,TIMED_OUT,1,1,1,11,2026-05-06T08:35:23+00:00
M007,InvertNegsMutator,MathClass.gcd,KILLED,0,1,0,11,2026-05-06T08:35:23+00:00
M008,MathMutator,MathClass.gcd,KILLED,0,1,0,11,2026-05-06T08:35:23+00:00
M009,MathMutator,MathClass.gcd,NO_COVERAGE,0,0,0,11,2026-05-06T08:35:23+00:00
M010,MathMutator,MathClass.gcd,NO_COVERAGE,0,0,0,11,2026-05-06T08:35:23+00:00
M011,RemoveConditionalMutator_EQUAL_ELSE,MathClass.gcd,KILLED,1,0,0,11,2026-05-06T08:35:23+00:00
M012,RemoveConditionalMutator_EQUAL_ELSE,MathClass.gcd,KILLED,0,1,0,11,2026-05-06T08:35:23+00:00
M013,RemoveConditionalMutator_EQUAL_ELSE,MathClass.gcd,KILLED,0,1,0,11,2026-05-06T08:35:23+00:00
M014,RemoveConditionalMutator_EQUAL_ELSE,MathClass.gcd,KILLED,0,1,0,11,2026-05-06T08:35:23+00:00
M015,RemoveConditionalMutator_EQUAL_ELSE,MathClass.gcd,KILLED,0,1,0,11,2026-05-06T08:35:23+00:00
M016,RemoveConditionalMutator_EQUAL_ELSE,MathClass.gcd,KILLED,0,1,0,11,2026-05-06T08:35:23+00:00
M017,RemoveConditionalMutator_EQUAL_ELSE,MathClass.gcd,KILLED,0,1,0,11,2026-05-06T08:35:23+00:00
M018,RemoveConditionalMutator_EQUAL_ELSE,MathClass.gcd,NO_COVERAGE,0,0,0,11,2026-05-06T08:35:23+00:00
M019,RemoveConditionalMutator_EQUAL_ELSE,MathClass.gcd,NO_COVERAGE,0,0,0,11,2026-05-06T08:35:23+00:00
M020,RemoveConditionalMutator_ORDER_ELSE,MathClass.gcd,TIMED_OUT,1,1,1,11,2026-05-06T08:35:23+00:00
M021,RemoveConditionalMutator_ORDER_ELSE,MathClass.gcd,TIMED_OUT,1,1,1,11,2026-05-06T08:35:23+00:00
M022,RemoveConditionalMutator_ORDER_ELSE,MathClass.gcd,NO_COVERAGE,0,0,0,11,2026-05-06T08:35:23+00:00
M023,PrimitiveReturnsMutator,MathClass.gcd,KILLED,0,1,0,11,2026-05-06T08:35:23+00:00
M024,PrimitiveReturnsMutator,MathClass.gcd,NO_COVERAGE,0,0,0,11,2026-05-06T08:35:23+00:00
M025,PrimitiveReturnsMutator,MathClass.gcd,KILLED,0,1,0,11,2026-05-06T08:35:23+00:00
