sut,method,sig,block,mutant_id,line,mutator,mutator_short,pit_status,stratum,covered,set_n,set_b,set_m,bB_base,bB_base0_1,bB_bound,bB_commute,bB_edge_nn,bB_exp0,bB_ge,bB_identity,bB_inverse,bB_le,bB_lower,bB_magnitude,bB_nonneg,bB_odd,bB_one,bB_perm,bB_pow2,bB_range,bB_square,bB_symmetry,bB_zero,mM_additive,mM_perm_inv,mM_scale_homog,mM_sign_flip,mM_sign_inv,nN_additive,nN_addmul,nN_antisym,nN_assoc,nN_base,nN_base0_1,nN_bound,nN_commute,nN_consistency,nN_cube,nN_edge1,nN_edge_n1,nN_edge_nn,nN_eqref,nN_even,nN_exp0,nN_expsum,nN_gcdlcm,nN_ge,nN_homog,nN_homom,nN_idem,nN_identity,nN_intshift,nN_inverse,nN_le,nN_linear,nN_lower,nN_magnitude,nN_mono,nN_mullog,nN_mulsplit,nN_nonneg,nN_odd,nN_one,nN_pascal,nN_period,nN_perm,nN_posscale,nN_pow2,nN_powers,nN_powk,nN_prodbase,nN_quotient,nN_range,nN_recip,nN_recur,nN_reflect,nN_scale,nN_shift,nN_shiftpi,nN_sign,nN_signfollow,nN_square,nN_symmetry,nN_zero
au_gcd_int,gcd,(II)I,"G,Lstar,Ole,Istar",au_gcd_int#M001,270,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,ConditionalsBoundaryMutator,SURVIVED,D1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
au_gcd_int,gcd,(II)I,"G,Lstar,Ole,Istar",au_gcd_int#M002,278,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,ConditionalsBoundaryMutator,SURVIVED,D1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
au_gcd_int,gcd,(II)I,"G,Lstar,Ole,Istar",au_gcd_int#M003,295,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,ConditionalsBoundaryMutator,NO_COVERAGE,D1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
au_gcd_int,gcd,(II)I,"G,Lstar,Ole,Istar",au_gcd_int#M004,274,org.pitest.mutationtest.engine.gregor.mutators.InvertNegsMutator,InvertNegsMutator,TIMED_OUT,D1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
au_gcd_int,gcd,(II)I,"G,Lstar,Ole,Istar",au_gcd_int#M005,276,org.pitest.mutationtest.engine.gregor.mutators.InvertNegsMutator,InvertNegsMutator,SURVIVED,D1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
au_gcd_int,gcd,(II)I,"G,Lstar,Ole,Istar",au_gcd_int#M006,282,org.pitest.mutationtest.engine.gregor.mutators.InvertNegsMutator,InvertNegsMutator,TIMED_OUT,D1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
au_gcd_int,gcd,(II)I,"G,Lstar,Ole,Istar",au_gcd_int#M007,284,org.pitest.mutationtest.engine.gregor.mutators.InvertNegsMutator,InvertNegsMutator,SURVIVED,D1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
au_gcd_int,gcd,(II)I,"G,Lstar,Ole,Istar",au_gcd_int#M008,264,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,MathMutator,SURVIVED,D1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
au_gcd_int,gcd,(II)I,"G,Lstar,Ole,Istar",au_gcd_int#M009,293,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,MathMutator,NO_COVERAGE,D1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
au_gcd_int,gcd,(II)I,"G,Lstar,Ole,Istar",au_gcd_int#M010,305,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,MathMutator,NO_COVERAGE,D1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
