sut,method,sig,blocks,n_mutants,n_covered,setN_killed,setB_killed,setM_killed,setN_rate,setB_rate,setM_rate,D1_mutants,D2_mutants
au_gcd_int,ArithmeticUtils.gcd,(II)I,"G,Lstar,Ole,Istar",25,18,8,5,6,0.32,0.2,0.24,22,3
au_gcd_long,ArithmeticUtils.gcd,(JJ)J,"G,Lstar,Ole,Istar",39,39,31,24,24,0.7949,0.6154,0.6154,37,2
au_lcm_int,ArithmeticUtils.lcm,(II)I,"G,Lstar,Istar",5,5,3,0,0,0.6,0.0,0.0,4,1
au_addcheck_int,ArithmeticUtils.addAndCheck,(II)I,"G,Tstar,Istar",6,6,3,2,3,0.5,0.3333,0.5,5,1
au_mulcheck_int,ArithmeticUtils.mulAndCheck,(II)I,"G,Lstar,Istar",6,6,3,2,2,0.5,0.3333,0.3333,5,1
au_subcheck_int,ArithmeticUtils.subAndCheck,(II)I,"G,Tstar,Istar",6,6,3,2,2,0.5,0.3333,0.3333,5,1
au_pow_int,ArithmeticUtils.pow,(II)I,"Lstar,Istar",10,7,6,4,2,0.6,0.4,0.2,6,4
cu_binom,CombinatoricsUtils.binomialCoefficient,(II)J,"G,Istar,Ole",42,23,15,3,3,0.3571,0.0714,0.0714,37,5
cu_factorial,CombinatoricsUtils.factorial,(I)J,"Lstar,Istar,Ole",5,5,3,2,2,0.6,0.4,0.4,4,1
au_stirling,ArithmeticUtils.stirlingS2,(II)J,"Istar,Ole",1,1,1,1,1,1.0,1.0,1.0,0,1
fm_hypot,FastMath.hypot,(DD)D,"G,Lstar,Istar",22,20,13,11,11,0.5909,0.5,0.5,17,5
fm_signum_d,FastMath.signum,(D)D,"G,Lstar",5,5,2,2,2,0.4,0.4,0.4,4,1
fm_abs_d,FastMath.abs,(D)D,"Lstar,Istar",2,2,1,1,0,0.5,0.5,0.0,1,1
fm_max_d,FastMath.max,(DD)D,"G,Tstar,Istar",11,9,5,4,5,0.4545,0.3636,0.4545,6,5
fm_min_d,FastMath.min,(DD)D,"G,Tstar,Istar",11,9,5,4,5,0.4545,0.3636,0.4545,6,5
fm_floor,FastMath.floor,(D)D,"Tstar,Istar,Ole",15,13,5,5,5,0.3333,0.3333,0.3333,11,4
fm_ceil,FastMath.ceil,(D)D,"Tstar,Istar,Ole",9,8,5,4,3,0.5556,0.4444,0.3333,5,4
fm_exp,FastMath.exp,(D)D,"Lstar,Ole",1,1,1,1,0,1.0,1.0,0.0,0,1
fm_log,FastMath.log,(D)D,"Lstar,Ole",1,1,0,0,0,0.0,0.0,0.0,0,1
fm_log10,FastMath.log10,(D)D,"Lstar,Ole",15,14,11,4,9,0.7333,0.2667,0.6,13,2
fm_log1p,FastMath.log1p,(D)D,"Lstar,Ole",27,24,9,2,8,0.3333,0.0741,0.2963,22,5
fm_expm1,FastMath.expm1,(D)D,"Lstar,Ole",1,1,1,0,1,1.0,0.0,1.0,0,1
fm_sqrt,FastMath.sqrt,(D)D,"Lstar,Ole",1,1,1,1,0,1.0,1.0,0.0,0,1
fm_cbrt,FastMath.cbrt,(D)D,"G,Lstar,Ole",82,76,51,5,5,0.622,0.061,0.061,79,3
fm_sin,FastMath.sin,(D)D,"G,Lstar,Ole",26,22,13,4,13,0.5,0.1538,0.5,18,8
fm_cos,FastMath.cos,(D)D,"G,Lstar,Ole",20,16,11,4,10,0.55,0.2,0.5,13,7
fm_tan,FastMath.tan,(D)D,"G,Lstar,Ole",37,34,14,5,5,0.3784,0.1351,0.1351,33,4
fm_sinh,FastMath.sinh,(D)D,"G,Lstar,Ole",123,104,19,4,4,0.1545,0.0325,0.0325,116,7
fm_cosh,FastMath.cosh,(D)D,"G,Lstar,Ole",67,48,12,10,0,0.1791,0.1493,0.0,61,6
fm_tanh,FastMath.tanh,(D)D,"G,Lstar,Ole",109,106,27,11,4,0.2477,0.1009,0.0367,104,5
fm_atan,FastMath.atan,(D)D,"G,Lstar,Ole",1,1,0,0,0,0.0,0.0,0.0,0,1
fm_toradians,FastMath.toRadians,(D)D,"Lstar,Istar",14,13,10,10,7,0.7143,0.7143,0.5,12,2
fm_todegrees,FastMath.toDegrees,(D)D,"Lstar,Istar",12,12,10,10,7,0.8333,0.8333,0.5833,10,2
fm_copysign,FastMath.copySign,(DD)D,"Lstar,Istar",6,6,6,2,2,1.0,0.3333,0.3333,4,2
fm_scalb,FastMath.scalb,(DI)D,"Lstar,Istar",72,8,4,4,0,0.0556,0.0556,0.0,61,11
fm_pow_di,FastMath.pow,(DI)D,"Lstar,Istar",1,1,1,1,0,1.0,1.0,0.0,0,1
