pair_id,complexity,n_nodes_total,is_equivalent_ground_truth,set_n_applicable,set_n_detected,set_n_mr_fired,set_segura_applicable,set_segura_detected,set_segura_mr_fired,seed,timestamp
testAggregateDynamicFunction,medium,13,True,0,0,,0,0,,11,2026-05-06T04:48:54+00:00
testAggregateJoinRemove6,medium,9,True,0,0,,1,1,join_perm,11,2026-05-06T04:48:54+00:00
testAggregateJoinRemove8,medium,11,True,0,0,,1,0,,11,2026-05-06T04:48:54+00:00
testAggregateMerge2,easy,7,True,0,0,,0,0,,11,2026-05-06T04:48:54+00:00
testAntiJoinProjectTranspose,hard,14,True,0,0,,1,0,,11,2026-05-06T04:48:54+00:00
testAnyInProjectNonNullable,medium,9,True,0,0,,0,0,,11,2026-05-06T04:48:54+00:00
testAnyInProjectNullable,medium,12,True,0,0,,0,0,,11,2026-05-06T04:48:54+00:00
testBitOrReuseDistinctAttrWithMixedOptionality,easy,7,True,0,0,,0,0,,11,2026-05-06T04:48:54+00:00
testCasePushIsAlwaysWorking,easy,6,True,0,0,,0,0,,11,2026-05-06T04:48:54+00:00
testDistinctWithMultipleInputs,easy,7,True,0,0,,0,0,,11,2026-05-06T04:48:54+00:00
testEmptySort2,easy,1,True,0,0,,0,0,,11,2026-05-06T04:48:54+00:00
testEmptySortLimitZero,easy,3,True,0,0,,0,0,,11,2026-05-06T04:48:54+00:00
testExpandFilterConstantInWithTwoSubQueries,hard,23,True,1,1,select_push,0,0,,11,2026-05-06T04:48:54+00:00
testExpandFilterInComposite,medium,11,True,1,1,select_push,0,0,,11,2026-05-06T04:48:54+00:00
testFullOuterJoinSimplificationToInner,medium,12,True,1,1,select_push,1,0,,11,2026-05-06T04:48:54+00:00
testJoinDeriveIsNotNullFilterRule1,medium,10,True,0,0,,1,0,,11,2026-05-06T04:48:54+00:00
testMergeIntersect,easy,0,True,0,0,,0,0,,11,2026-05-06T04:48:54+00:00
testPullConstantThroughAggregatePermuted,medium,8,True,0,0,,0,0,,11,2026-05-06T04:48:54+00:00
testPushAggregateSumThroughJoin,hard,16,True,0,0,,1,0,,11,2026-05-06T04:48:54+00:00
testPushAggregateThroughOuterJoin13,hard,14,True,0,0,,1,0,,11,2026-05-06T04:48:54+00:00
testPushAggregateThroughOuterJoin2,hard,14,True,0,0,,1,0,,11,2026-05-06T04:48:54+00:00
testPushAggregateThroughOuterJoin4,hard,14,True,0,0,,1,0,,11,2026-05-06T04:48:54+00:00
testPushAvgThroughUnion,easy,5,True,0,0,,0,0,,11,2026-05-06T04:48:54+00:00
testPushBoolAndBoolOrThroughUnion,easy,4,True,0,0,,0,0,,11,2026-05-06T04:48:54+00:00
testPushCountStarGroupingSetsThroughUnion,easy,5,True,0,0,,0,0,,11,2026-05-06T04:48:54+00:00
testPushFilterPastAggWithGroupingSets2,medium,10,True,0,0,,0,0,,11,2026-05-06T04:48:54+00:00
testPushJoinThroughUnionOnLeft,easy,6,True,0,0,,0,0,,11,2026-05-06T04:48:54+00:00
testPushProjectPastInnerJoinStrong,hard,14,True,0,0,,1,0,,11,2026-05-06T04:48:54+00:00
testPushProjectPastLeftJoin,hard,14,True,0,0,,1,0,,11,2026-05-06T04:48:54+00:00
testPushProjectPastLeftJoinSwap,hard,14,True,0,0,,1,0,,11,2026-05-06T04:48:54+00:00
testPushProjectPastSetOp,easy,3,True,0,0,,0,0,,11,2026-05-06T04:48:54+00:00
testPushSemiJoinPastFilter,medium,12,True,1,0,,1,0,,11,2026-05-06T04:48:54+00:00
testPushSumConstantGroupingSetsThroughUnion,easy,5,True,0,0,,0,0,,11,2026-05-06T04:48:54+00:00
testPushSumNullableGroupingSetsThroughUnion,easy,5,True,0,0,,0,0,,11,2026-05-06T04:48:54+00:00
testReduceAllAggregateFunctions,medium,8,True,0,0,,0,0,,11,2026-05-06T04:48:54+00:00
testReduceCase,easy,4,True,0,0,,0,0,,11,2026-05-06T04:48:54+00:00
testReduceConstants3,medium,10,True,1,1,select_push,1,1,join_perm,11,2026-05-06T04:48:54+00:00
testReduceConstantsDup3Null,easy,6,True,0,0,,0,0,,11,2026-05-06T04:48:54+00:00
testReduceConstantsIsNull,easy,4,True,0,0,,0,0,,11,2026-05-06T04:48:54+00:00
testReduceConstantsProjectNullable,easy,6,True,0,0,,0,0,,11,2026-05-06T04:48:54+00:00
testReduceConstantsRequiresExecutor,easy,3,True,0,0,,0,0,,11,2026-05-06T04:48:54+00:00
testRightEmptySemiJoin,easy,4,True,0,0,,0,0,,11,2026-05-06T04:48:54+00:00
testSemiJoinRuleWithJoinOnUniqueInput,medium,9,True,0,0,,0,0,,11,2026-05-06T04:48:54+00:00
testSortJoinTranspose6,medium,11,True,0,0,,1,0,,11,2026-05-06T04:48:54+00:00
testSortProjectTranspose1,medium,8,True,0,0,,0,0,,11,2026-05-06T04:48:54+00:00
testSumAndDistinctSumWithExpandSumType,medium,8,True,0,0,,0,0,,11,2026-05-06T04:48:54+00:00
testTransitiveInferenceComplexPredicate,medium,13,True,1,1,distinct_idem,1,0,,11,2026-05-06T04:48:54+00:00
testTransitiveInferenceUnion,medium,9,True,0,0,,1,0,,11,2026-05-06T04:48:54+00:00
testTransitiveInferenceUnion3way,medium,9,True,0,0,,1,0,,11,2026-05-06T04:48:54+00:00
testWhereNotInCorrelated,hard,14,True,1,1,select_push,0,0,,11,2026-05-06T04:48:54+00:00
