pair_id,complexity,n_nodes_total,is_equivalent_ground_truth,set_n_applicable,set_n_detected,set_n_mr_fired,set_segura_applicable,set_segura_detected,set_segura_mr_fired,seed,timestamp
testAddRedundantSemiJoinRule,medium,10,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testAggregateCaseToFilter,easy,7,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testAggregateConstantKeyRule,medium,11,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testAggregateConstantKeyRule3,medium,13,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testAggregateDynamicFunction,medium,13,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testAggregateExtractProjectRule,easy,5,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testAggregateExtractProjectRuleWithGroupingSets,easy,5,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testAggregateExtractProjectRuleWithGroupingSets2,easy,5,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testAggregateGroupingSetsProjectMerge,medium,8,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testAggregateJoinRemove1,easy,7,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testAggregateJoinRemove10,medium,13,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testAggregateJoinRemove11,easy,7,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testAggregateJoinRemove2,easy,7,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testAggregateJoinRemove3,medium,9,True,0,0,,1,1,join_perm,22,2026-05-06T06:42:10+00:00
testAggregateJoinRemove4,easy,7,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testAggregateJoinRemove5,easy,7,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testAggregateJoinRemove6,medium,9,True,0,0,,1,1,join_perm,22,2026-05-06T06:42:10+00:00
testAggregateJoinRemove7,medium,11,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testAggregateJoinRemove8,medium,11,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testAggregateJoinRemove9,medium,11,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testAggregateMerge1,easy,5,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testAggregateMerge2,easy,7,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testAggregateMerge8,easy,5,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testAggregateMergeSum0,easy,5,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testAggregateProjectMerge,medium,8,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testAggregateProjectPullUpConstants,medium,9,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testAggregateProjectPullUpConstants2,easy,7,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testAggregateRemove1,easy,6,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testAggregateRemove2,easy,5,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testAggregateRemove3,easy,6,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testAggregateRemove7,medium,11,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testAggregateUnionTransposeWithOneInputUnique,easy,4,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testAggregateUnionTransposeWithTopLevelGroupSetRemapping,easy,6,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testAll,medium,12,True,1,1,select_push,0,0,,22,2026-05-06T06:42:10+00:00
testAlreadyFalseEliminatesFilter,easy,3,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testAntiCorrelateWithLeftEmpty,easy,0,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testAntiCorrelateWithRightEmpty,easy,1,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testAntiJoinProjectTranspose,hard,14,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testAnyInProjectNonNullable,medium,9,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testAnyInProjectNullable,medium,12,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testBitAndReuseDistinctAttrWithMixedOptionality,easy,7,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testBitOrReuseDistinctAttrWithMixedOptionality,easy,7,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testCasePushIsAlwaysWorking,easy,6,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
